video_id,video_path,filename_label,host,episode,episode_group_id,size_bytes,is_corrupt,yt_video_id,file_name,start_time,end_time,label,group_id
AN_WILTY_EP15_lie10,data/raw/dolos/videos/AN_WILTY_EP15_lie10.mp4,1.0,AN,15,AN_EP15,392867,False,UCPIBQDI0QM,AN_WILTY_EP15_lie10,18:17,18:20,1,AN_EP15
AN_WILTY_EP15_lie11,data/raw/dolos/videos/AN_WILTY_EP15_lie11.mp4,1.0,AN,15,AN_EP15,268672,False,UCPIBQDI0QM,AN_WILTY_EP15_lie11,18:30,18:33,1,AN_EP15
AN_WILTY_EP15_lie12,data/raw/dolos/videos/AN_WILTY_EP15_lie12.mp4,1.0,AN,15,AN_EP15,325841,False,UCPIBQDI0QM,AN_WILTY_EP15_lie12,18:41,18:45,1,AN_EP15
AN_WILTY_EP15_lie13,data/raw/dolos/videos/AN_WILTY_EP15_lie13.mp4,1.0,AN,15,AN_EP15,354334,False,UCPIBQDI0QM,AN_WILTY_EP15_lie13,18:49,18:53,1,AN_EP15
AN_WILTY_EP15_lie14,data/raw/dolos/videos/AN_WILTY_EP15_lie14.mp4,1.0,AN,15,AN_EP15,489405,False,UCPIBQDI0QM,AN_WILTY_EP15_lie14,19:01,19:07,1,AN_EP15
AN_WILTY_EP15_lie15,data/raw/dolos/videos/AN_WILTY_EP15_lie15.mp4,1.0,AN,15,AN_EP15,194953,False,UCPIBQDI0QM,AN_WILTY_EP15_lie15,19:22,19:26,1,AN_EP15
AN_WILTY_EP15_lie16,data/raw/dolos/videos/AN_WILTY_EP15_lie16.mp4,1.0,AN,15,AN_EP15,347920,False,UCPIBQDI0QM,AN_WILTY_EP15_lie16,19:29,19:34,1,AN_EP15
AN_WILTY_EP15_lie17,data/raw/dolos/videos/AN_WILTY_EP15_lie17.mp4,1.0,AN,15,AN_EP15,409462,False,UCPIBQDI0QM,AN_WILTY_EP15_lie17,19:48,19:53,1,AN_EP15
AN_WILTY_EP15_lie18,data/raw/dolos/videos/AN_WILTY_EP15_lie18.mp4,1.0,AN,15,AN_EP15,379971,False,UCPIBQDI0QM,AN_WILTY_EP15_lie18,23:38,23:42,1,AN_EP15
AN_WILTY_EP15_lie19,data/raw/dolos/videos/AN_WILTY_EP15_lie19.mp4,1.0,AN,15,AN_EP15,294524,False,UCPIBQDI0QM,AN_WILTY_EP15_lie19,23:44,23:47,1,AN_EP15
AN_WILTY_EP15_lie4,data/raw/dolos/videos/AN_WILTY_EP15_lie4.mp4,1.0,AN,15,AN_EP15,415448,False,UCPIBQDI0QM,AN_WILTY_EP15_lie4,7:03,7:06,1,AN_EP15
AN_WILTY_EP15_lie5,data/raw/dolos/videos/AN_WILTY_EP15_lie5.mp4,1.0,AN,15,AN_EP15,369427,False,UCPIBQDI0QM,AN_WILTY_EP15_lie5,7:32,7:36,1,AN_EP15
