video_id,video_path,filename_label,host,episode,episode_group_id,size_bytes,is_corrupt,yt_video_id,file_name,start_time,end_time,label,group_id,split,fold
AN_WILTY_EP15_lie11,data/raw/dolos/videos/AN_WILTY_EP15_lie11.mp4,1.0,AN,15,AN_EP15,268672.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie11,18:30,18:33,1.0,AN_EP15,train,fold1
AN_WILTY_EP15_lie12,data/raw/dolos/videos/AN_WILTY_EP15_lie12.mp4,1.0,AN,15,AN_EP15,325841.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie12,18:41,18:45,1.0,AN_EP15,train,fold1
AN_WILTY_EP15_lie15,data/raw/dolos/videos/AN_WILTY_EP15_lie15.mp4,1.0,AN,15,AN_EP15,194953.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie15,19:22,19:26,1.0,AN_EP15,train,fold1
AN_WILTY_EP15_lie16,data/raw/dolos/videos/AN_WILTY_EP15_lie16.mp4,1.0,AN,15,AN_EP15,347920.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie16,19:29,19:34,1.0,AN_EP15,train,fold1
AN_WILTY_EP15_lie17,data/raw/dolos/videos/AN_WILTY_EP15_lie17.mp4,1.0,AN,15,AN_EP15,409462.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie17,19:48,19:53,1.0,AN_EP15,train,fold1
AN_WILTY_EP15_lie18,data/raw/dolos/videos/AN_WILTY_EP15_lie18.mp4,1.0,AN,15,AN_EP15,379971.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie18,23:38,23:42,1.0,AN_EP15,train,fold1
AN_WILTY_EP15_truth1,data/raw/dolos/videos/AN_WILTY_EP15_truth1.mp4,0.0,AN,15,AN_EP15,426368.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth1,2:06,2:11,0.0,AN_EP15,train,fold1
AN_WILTY_EP15_truth2,data/raw/dolos/videos/AN_WILTY_EP15_truth2.mp4,0.0,AN,15,AN_EP15,615980.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth2,2:25,2:32,0.0,AN_EP15,train,fold1
AN_WILTY_EP15_truth20,data/raw/dolos/videos/AN_WILTY_EP15_truth20.mp4,0.0,AN,15,AN_EP15,414000.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth20,25:26,25:31,0.0,AN_EP15,train,fold1
AN_WILTY_EP15_truth21,data/raw/dolos/videos/AN_WILTY_EP15_truth21.mp4,0.0,AN,15,AN_EP15,361825.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth21,25:35,25:39,0.0,AN_EP15,train,fold1
AN_WILTY_EP15_truth22,data/raw/dolos/videos/AN_WILTY_EP15_truth22.mp4,0.0,AN,15,AN_EP15,448810.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth22,25:44,25:47,0.0,AN_EP15,train,fold1
AN_WILTY_EP15_truth23,data/raw/dolos/videos/AN_WILTY_EP15_truth23.mp4,0.0,AN,15,AN_EP15,945472.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth23,26:14,26:23,0.0,AN_EP15,train,fold1
