fold,split,video_id
1,train,AN_WILTY_EP17_truth2
1,train,AN_WILTY_EP23_truth9
1,train,AN_WILTY_EP26_lie14
1,train,BRI_WILTY_EP59_deception_24
1,train,BRI_WILTY_EP61_lie_22
1,train,BRI_WILTY_EP61_lie_6
1,train,BRI_WILTY_EP63_lie_28
1,train,BRI_WILTY_EP67_lie_12
1,train,BRI_WILTY_EP67_lie_2
1,train,BRI_WILTY_EP67_lie_3
1,train,BRI_WILTY_EP67_lie_4
1,train,BRI_WILTY_EP67_lie_8
1,train,BRI_WILTY_EP67_truth_11
1,train,BRI_WILTY_EP67_truth_14
1,train,BRI_WILTY_EP67_truth_15
1,train,BRI_WILTY_EP67_truth_16
1,train,BRI_WILTY_EP67_truth_6
1,train,BRI_WILTY_EP67_truth_7
1,train,BRI_WILTY_EP67_truth_9
1,train,BRI_WILTY_EP68_lie_1
1,train,BRI_WILTY_EP68_lie_10
1,train,BRI_WILTY_EP68_lie_15
1,train,BRI_WILTY_EP68_lie_16
1,train,BRI_WILTY_EP68_lie_17
1,train,BRI_WILTY_EP68_lie_19
1,train,BRI_WILTY_EP68_lie_2
1,train,BRI_WILTY_EP68_lie_20
1,train,BRI_WILTY_EP68_lie_21
1,train,BRI_WILTY_EP68_lie_5
1,train,BRI_WILTY_EP68_truth_11
1,train,BRI_WILTY_EP68_truth_12
1,train,BRI_WILTY_EP68_truth_14
1,train,BRI_WILTY_EP68_truth_8
1,train,BRI_WILTY_EP68_truth_9
1,train,BRI_WILTY_EP69_lie_1
1,train,BRI_WILTY_EP69_lie_13
1,train,BRI_WILTY_EP69_lie_14
1,train,BRI_WILTY_EP69_lie_15
1,train,BRI_WILTY_EP69_lie_16
1,train,BRI_WILTY_EP69_lie_17
1,train,BRI_WILTY_EP69_lie_18
1,train,BRI_WILTY_EP69_lie_19
1,train,BRI_WILTY_EP69_lie_21
1,train,BRI_WILTY_EP69_lie_3
1,train,BRI_WILTY_EP69_lie_8
1,train,BRI_WILTY_EP69_truth_10
1,train,BRI_WILTY_EP69_truth_11
1,train,BRI_WILTY_EP69_truth_26
1,train,BRI_WILTY_EP69_truth_4
1,train,LS_WILTY_EP11_lie4
1,train,LS_WILTY_EP12_lie9
1,train,LS_WILTY_EP3_truth5
1,train,LS_WILTY_EP72_lie17
1,train,LS_WILTY_EP75_true4
1,train,LS_WILTY_EP76_lie12
1,train,LS_WILTY_EP76_lie15
1,train,LS_WILTY_EP8_lie1
1,train,LS_WILTY_EP8_lie10
1,train,LS_WILTY_EP8_lie11
