fold,video_id
1,AN_WILTY_EP22_lie6
1,BRI_WILTY_EP59_deception_22
1,LS_WILTY_EP4_truth8
1,LS_WILTY_EP6_truth2
1,SB_WILTY_EP32_lie1
1,SB_WILTY_EP32_lie16
1,SB_WILTY_EP32_lie17
1,SB_WILTY_EP32_lie2
1,SB_WILTY_EP32_lie3
1,SB_WILTY_EP32_lie4
1,SB_WILTY_EP32_lie5
1,SB_WILTY_EP33_lie1
1,SB_WILTY_EP33_lie5
1,SB_WILTY_EP34_lie8
1,SB_WILTY_EP34_truth5
1,SB_WILTY_EP37_truth13
1,SB_WILTY_EP38_lie4
1,SB_WILTY_EP38_lie5
1,SB_WILTY_EP38_truth3
1,SB_WILTY_EP42_lie14
1,SB_WILTY_EP42_lie15
1,SB_WILTY_EP42_lie9
1,SB_WILTY_EP42_truth14
1,YW_WILTY_EP43_truth1
1,YW_WILTY_EP46_truth1
1,YW_WILTY_EP47_lie20
2,AN_WILTY_EP22_lie6
2,BRI_WILTY_EP59_deception_22
2,LS_WILTY_EP4_truth8
2,LS_WILTY_EP6_truth2
2,SB_WILTY_EP32_lie1
2,SB_WILTY_EP32_lie16
2,SB_WILTY_EP32_lie17
2,SB_WILTY_EP32_lie2
2,SB_WILTY_EP32_lie3
2,SB_WILTY_EP32_lie4
2,SB_WILTY_EP32_lie5
2,SB_WILTY_EP33_lie1
2,SB_WILTY_EP33_lie5
2,SB_WILTY_EP34_lie8
2,SB_WILTY_EP34_truth5
2,SB_WILTY_EP37_truth13
2,SB_WILTY_EP38_lie4
2,SB_WILTY_EP38_lie5
2,SB_WILTY_EP38_truth3
2,SB_WILTY_EP42_lie14
2,SB_WILTY_EP42_lie15
2,SB_WILTY_EP42_lie9
2,SB_WILTY_EP42_truth14
2,YW_WILTY_EP43_truth1
2,YW_WILTY_EP46_truth1
2,YW_WILTY_EP47_lie20
3,AN_WILTY_EP22_lie6
3,BRI_WILTY_EP59_deception_22
3,LS_WILTY_EP4_truth8
3,LS_WILTY_EP6_truth2
3,SB_WILTY_EP32_lie1
3,SB_WILTY_EP32_lie16
3,SB_WILTY_EP32_lie17
3,SB_WILTY_EP32_lie2
3,SB_WILTY_EP32_lie3
3,SB_WILTY_EP32_lie4
3,SB_WILTY_EP32_lie5
3,SB_WILTY_EP33_lie1
3,SB_WILTY_EP33_lie5
3,SB_WILTY_EP34_lie8
3,SB_WILTY_EP34_truth5
3,SB_WILTY_EP37_truth13
3,SB_WILTY_EP38_lie4
3,SB_WILTY_EP38_lie5
3,SB_WILTY_EP38_truth3
3,SB_WILTY_EP42_lie14
3,SB_WILTY_EP42_lie15
3,SB_WILTY_EP42_lie9
3,SB_WILTY_EP42_truth14
3,YW_WILTY_EP43_truth1
3,YW_WILTY_EP46_truth1
3,YW_WILTY_EP47_lie20
