video_id,video_path,start_time,end_time,start_seconds,end_seconds,raw_duration_seconds,expected_duration_seconds,too_long,too_short
AN_WILTY_EP15_lie10,data/raw/dolos/videos/AN_WILTY_EP15_lie10.mp4,18:17,18:20,1097,1100,3.16,3,False,False
AN_WILTY_EP15_lie11,data/raw/dolos/videos/AN_WILTY_EP15_lie11.mp4,18:30,18:33,1110,1113,3.16,3,False,False
AN_WILTY_EP15_lie12,data/raw/dolos/videos/AN_WILTY_EP15_lie12.mp4,18:41,18:45,1121,1125,4.04,4,False,False
AN_WILTY_EP15_lie13,data/raw/dolos/videos/AN_WILTY_EP15_lie13.mp4,18:49,18:53,1129,1133,4.08,4,False,False
AN_WILTY_EP15_lie14,data/raw/dolos/videos/AN_WILTY_EP15_lie14.mp4,19:01,19:07,1141,1147,6.2,6,False,False
AN_WILTY_EP15_lie15,data/raw/dolos/videos/AN_WILTY_EP15_lie15.mp4,19:22,19:26,1162,1166,4.04,4,False,False
AN_WILTY_EP15_lie16,data/raw/dolos/videos/AN_WILTY_EP15_lie16.mp4,19:29,19:34,1169,1174,5.04,5,False,False
AN_WILTY_EP15_lie17,data/raw/dolos/videos/AN_WILTY_EP15_lie17.mp4,19:48,19:53,1188,1193,5.04,5,False,False
AN_WILTY_EP15_lie18,data/raw/dolos/videos/AN_WILTY_EP15_lie18.mp4,23:38,23:42,1418,1422,4.04,4,False,False
AN_WILTY_EP15_lie19,data/raw/dolos/videos/AN_WILTY_EP15_lie19.mp4,23:44,23:47,1424,1427,3.2,3,False,False
AN_WILTY_EP15_lie4,data/raw/dolos/videos/AN_WILTY_EP15_lie4.mp4,7:03,7:06,423,426,3.24,3,False,False
AN_WILTY_EP15_lie5,data/raw/dolos/videos/AN_WILTY_EP15_lie5.mp4,7:32,7:36,452,456,4.2,4,False,False
AN_WILTY_EP15_truth1,data/raw/dolos/videos/AN_WILTY_EP15_truth1.mp4,2:06,2:11,126,131,5.04,5,False,False
AN_WILTY_EP15_truth2,data/raw/dolos/videos/AN_WILTY_EP15_truth2.mp4,2:25,2:32,145,152,7.12,7,False,False
AN_WILTY_EP15_truth20,data/raw/dolos/videos/AN_WILTY_EP15_truth20.mp4,25:26,25:31,1526,1531,5.04,5,False,False
AN_WILTY_EP15_truth21,data/raw/dolos/videos/AN_WILTY_EP15_truth21.mp4,25:35,25:39,1535,1539,4.08,4,False,False
AN_WILTY_EP15_truth22,data/raw/dolos/videos/AN_WILTY_EP15_truth22.mp4,25:44,25:47,1544,1547,3.04,3,False,False
AN_WILTY_EP15_truth23,data/raw/dolos/videos/AN_WILTY_EP15_truth23.mp4,26:14,26:23,1574,1583,9.16,9,False,False
AN_WILTY_EP15_truth24,data/raw/dolos/videos/AN_WILTY_EP15_truth24.mp4,26:28,26:37,1588,1597,9.16,9,False,False
AN_WILTY_EP15_truth3,data/raw/dolos/videos/AN_WILTY_EP15_truth3.mp4,5:50,5:55,350,355,5.16,5,False,False
AN_WILTY_EP15_truth6,data/raw/dolos/videos/AN_WILTY_EP15_truth6.mp4,8:58,9:04,538,544,6.08,6,False,False
AN_WILTY_EP15_truth7,data/raw/dolos/videos/AN_WILTY_EP15_truth7.mp4,9:48,9:51,588,591,3.04,3,False,False
AN_WILTY_EP15_truth8,data/raw/dolos/videos/AN_WILTY_EP15_truth8.mp4,17:04,17:08,1024,1028,4.2,4,False,False
AN_WILTY_EP15_truth9,data/raw/dolos/videos/AN_WILTY_EP15_truth9.mp4,17:44,17:47,1064,1067,3.08,3,False,False
AN_WILTY_EP16_lie1,data/raw/dolos/videos/AN_WILTY_EP16_lie1.mp4,2:04,2:07,124,127,3.16,3,False,False
AN_WILTY_EP16_lie17,data/raw/dolos/videos/AN_WILTY_EP16_lie17.mp4,16:11,16:21,971,981,10.12,10,False,False
AN_WILTY_EP16_lie18,data/raw/dolos/videos/AN_WILTY_EP16_lie18.mp4,17:11,17:14,1031,1034,3.12,3,False,False
AN_WILTY_EP16_lie19,data/raw/dolos/videos/AN_WILTY_EP16_lie19.mp4,21:12,21:16,1272,1276,4.16,4,False,False
AN_WILTY_EP16_lie2,data/raw/dolos/videos/AN_WILTY_EP16_lie2.mp4,2:21,2:27,141,147,6.2,6,False,False
AN_WILTY_EP16_lie20,data/raw/dolos/videos/AN_WILTY_EP16_lie20.mp4,21:25,21:30,1285,1290,5.04,5,False,False
AN_WILTY_EP16_lie21,data/raw/dolos/videos/AN_WILTY_EP16_lie21.mp4,21:34,21:39,1294,1299,5.12,5,False,False
AN_WILTY_EP16_lie3,data/raw/dolos/videos/AN_WILTY_EP16_lie3.mp4,2:42,2:46,162,166,4.04,4,False,False
AN_WILTY_EP16_lie4,data/raw/dolos/videos/AN_WILTY_EP16_lie4.mp4,2:50,2:54,170,174,4.16,4,False,False
AN_WILTY_EP16_lie5,data/raw/dolos/videos/AN_WILTY_EP16_lie5.mp4,3:01,3:05,181,185,4.16,4,False,False
AN_WILTY_EP16_lie6,data/raw/dolos/videos/AN_WILTY_EP16_lie6.mp4,3:11,3:15,191,195,4.2,4,False,False
AN_WILTY_EP16_lie7,data/raw/dolos/videos/AN_WILTY_EP16_lie7.mp4,3:33,3:36,213,216,3.08,3,False,False
AN_WILTY_EP16_truth10,data/raw/dolos/videos/AN_WILTY_EP16_truth10.mp4,6:04,6:09,364,369,5.04,5,False,False
AN_WILTY_EP16_truth11,data/raw/dolos/videos/AN_WILTY_EP16_truth11.mp4,6:14,6:17,374,377,3.08,3,False,False
AN_WILTY_EP16_truth12,data/raw/dolos/videos/AN_WILTY_EP16_truth12.mp4,8:51,8:58,531,538,7.04,7,False,False
AN_WILTY_EP16_truth13,data/raw/dolos/videos/AN_WILTY_EP16_truth13.mp4,9:07,9:11,547,551,4.24,4,False,False
