episode_group_id,n,lie,truth,accuracy,balanced_accuracy,precision_lie,recall_lie,f1_lie,macro_f1,auc_roc,tn,fp,fn,tp,score_mean,score_std,pred_lie_rate
BRI_EP58,34,22,12,0.4411764705882353,0.4545454545454546,0.6,0.4090909090909091,0.4864864864864865,0.43679163034001744,0.571969696969697,6,6,13,9,0.5492569139733368,0.10035947439240987,0.4411764705882353
BRI_EP61,34,19,15,0.5882352941176471,0.6105263157894737,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.5824561403508772,0.7263157894736842,12,3,11,8,0.5133429677470002,0.08830482952771625,0.3235294117647059
SB_EP42,33,16,17,0.6363636363636364,0.6323529411764706,0.6666666666666666,0.5,0.5714285714285715,0.6278195488721805,0.6066176470588236,13,4,8,8,0.5013578576195723,0.08990916104396618,0.36363636363636365
BRI_EP57,32,10,22,0.5625,0.5454545454545454,0.35714285714285715,0.5,0.41666666666666663,0.5333333333333333,0.6318181818181818,13,9,5,5,0.5384607947741945,0.08398785998791962,0.4375
BRI_EP62,31,12,19,0.6129032258064516,0.5614035087719298,0.5,0.3333333333333333,0.4,0.5571428571428572,0.7850877192982456,15,4,8,4,0.5208092986690467,0.09495348844006991,0.25806451612903225
YW_EP50,30,15,15,0.4,0.4,0.38461538461538464,0.3333333333333333,0.3571428571428571,0.3973214285714285,0.5511111111111111,7,8,10,5,0.5353458643247369,0.046204468945208535,0.43333333333333335
BRI_EP63,30,4,26,0.8,0.5673076923076923,0.25,0.25,0.25,0.5673076923076923,0.42307692307692313,23,3,3,1,0.43405242998921684,0.11213970976741257,0.13333333333333333
LS_EP9,30,20,10,0.7,0.65,0.7619047619047619,0.8,0.7804878048780488,0.6534017971758665,0.55,5,5,4,16,0.5536873252879059,0.05754848337061208,0.7
YW_EP44,30,14,16,0.7,0.6875,0.7777777777777778,0.5,0.6086956521739131,0.6827262044653348,0.6383928571428572,14,2,7,7,0.5201549960885729,0.07127636145115535,0.3
AN_EP22,28,18,10,0.5714285714285714,0.6444444444444445,0.875,0.3888888888888889,0.5384615384615385,0.5692307692307692,0.5722222222222222,9,1,11,7,0.5360361702208009,0.038376659698849215,0.2857142857142857
YW_EP53,27,13,14,0.6296296296296297,0.6318681318681318,0.6,0.6923076923076923,0.6428571428571429,0.6291208791208791,0.5714285714285714,8,6,4,9,0.5373604704883784,0.07116548587383997,0.5555555555555556
LS_EP73,26,9,17,0.5769230769230769,0.49346405228758167,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.48468468468468473,0.8235294117647058,13,4,7,2,0.5013580758082412,0.105230840905595,0.23076923076923078
LS_EP7,26,14,12,0.5384615384615384,0.5416666666666667,0.5833333333333334,0.5,0.5384615384615384,0.5384615384615384,0.5892857142857143,7,5,7,7,0.5528784546878311,0.07318313154851093,0.46153846153846156
AN_EP16,26,12,14,0.6538461538461539,0.6607142857142857,0.6,0.75,0.6666666666666665,0.6533333333333333,0.738095238095238,8,6,3,9,0.5504884726785224,0.10802748262555104,0.5769230769230769
YW_EP45,26,19,7,0.7307692307692307,0.7255639097744361,0.875,0.7368421052631579,0.7999999999999999,0.6941176470588235,0.6917293233082706,5,2,5,14,0.5524153718772608,0.08744696712556815,0.6153846153846154
YW_EP47,25,18,7,0.6,0.503968253968254,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.503968253968254,0.5714285714285715,2,5,5,13,0.5886436383856668,0.1006534109368568,0.72
YW_EP56,25,19,6,0.44,0.5745614035087719,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.4391025641025641,0.4298245614035088,5,1,13,6,0.5348630601437319,0.06648971674844438,0.28
LS_EP72,25,16,9,0.52,0.6006944444444444,0.8333333333333334,0.3125,0.45454545454545453,0.512987012987013,0.48611111111111105,8,1,11,5,0.5103996855810091,0.061643790965916385,0.24
LS_EP4,25,16,9,0.64,0.6215277777777778,0.7333333333333333,0.6875,0.7096774193548386,0.6179966044142614,0.5486111111111112,5,4,5,11,0.542949081937472,0.07538612429431972,0.6
BRI_EP59,24,11,13,0.5833333333333334,0.5524475524475525,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.4957983193277311,0.6153846153846154,12,1,9,2,0.4995520127377911,0.0715434388922161,0.125
LS_EP10,24,15,9,0.5833333333333334,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6,4,5,5,10,0.5733703410459889,0.09807327500074339,0.625
BRI_EP60,24,14,10,0.5833333333333334,0.6285714285714286,0.8333333333333334,0.35714285714285715,0.5,0.5714285714285714,0.5357142857142857,9,1,9,5,0.49686444885141795,0.08045497679502175,0.25
LS_EP13,24,13,11,0.625,0.6398601398601399,0.75,0.46153846153846156,0.5714285714285714,0.6190476190476191,0.6503496503496503,9,2,7,6,0.5297245948264996,0.08691142524518164,0.3333333333333333
YW_EP55,24,16,8,0.75,0.65625,0.75,0.9375,0.8333333333333334,0.6666666666666667,0.71875,3,5,1,15,0.5639889023631377,0.08998223071836776,0.8333333333333334
