video_id,label,score_lie,aggregation,host,episode,episode_group_id,group_id,start_time,end_time,size_bytes,fold,threshold_default,threshold_calibrated,pred_default,pred_calibrated,correct_default,correct_calibrated,error_type_calibrated,margin_to_calibrated_threshold,window_score_mean,window_score_std,window_score_min,window_score_max,num_windows,wrong_confidence
BRI_WILTY_EP63_lie_30,1,0.2325688581913709,mean,BRI,63,BRI_EP63,BRI_EP63,17:53,18:01,439899.0,fold2,0.5,0.5355864841313589,0,0,False,False,false_negative,-0.303017625939988,0.2325688581913709,0.03861121018096297,0.1789869666099548,0.3007469773292541,8,0.303017625939988
YW_WILTY_EP46_lie6,1,0.2355815768241882,mean,YW,46,YW_EP46,YW_EP46,14:39,14:43,391327.0,fold2,0.5,0.5355864841313589,0,0,False,False,false_negative,-0.30000490730717067,0.2355815768241882,0.06385602127356076,0.1972553730010986,0.3307790458202362,4,0.30000490730717067
AN_WILTY_EP24_lie7,1,0.2451014689036778,mean,AN,24,AN_EP24,AN_EP24,2:15,2:22,431456.0,fold2,0.5,0.5355864841313589,0,0,False,False,false_negative,-0.2904850152276811,0.24510146890367773,0.08613942020517813,0.1461200267076492,0.3986478745937347,7,0.2904850152276811
SB_WILTY_EP29_lie8,1,0.2747065226236979,mean,SB,29,SB_EP29,SB_EP29,5:07,5:16,735868.0,fold2,0.5,0.5355864841313589,0,0,False,False,false_negative,-0.260879961507661,0.27470652262369794,0.11644136040477493,0.1617863774299621,0.515697717666626,9,0.260879961507661
BRI_WILTY_EP59_lie_10,1,0.2783185411244631,mean,BRI,59,BRI_EP59,BRI_EP59,9:31,9:39,725852.0,fold2,0.5,0.5355864841313589,0,0,False,False,false_negative,-0.2572679430068958,0.278318541124463,0.07184167387540405,0.1911384016275406,0.367850124835968,8,0.2572679430068958
LS_WILTY_EP14_lie6,1,0.2901512719690799,mean,LS,14,LS_EP14,LS_EP14,17:54,17:58,201353.0,fold2,0.5,0.5355864841313589,0,0,False,False,false_negative,-0.24543521216227898,0.2901512719690799,0.10675119410626807,0.2008140087127685,0.4186391234397888,4,0.24543521216227898
SB_WILTY_EP29_lie9,1,0.3018259823322296,mean,SB,29,SB_EP29,SB_EP29,5:21,5:26,446534.0,fold2,0.5,0.5355864841313589,0,0,False,False,false_negative,-0.23376050179912927,0.30182598233222957,0.08948579440921517,0.1550875008106231,0.374525785446167,5,0.23376050179912927
SB_WILTY_EP35_lie2,1,0.3096233814954757,mean,SB,35,SB_EP35,SB_EP35,5:44,5:49,206345.0,fold2,0.5,0.5355864841313589,0,0,False,False,false_negative,-0.2259631026358832,0.30962338149547575,0.1128138844046671,0.1290803998708725,0.4165284633636474,5,0.2259631026358832
LS_WILTY_EP6_lie1,1,0.3933207035064697,mean,LS,6,LS_EP6,LS_EP6,4:39,4:44,216187.0,fold1,0.5,0.6054642729461193,0,0,False,False,false_negative,-0.21214356943964957,0.39332070350646975,0.01912127836204419,0.3690216541290283,0.414620965719223,5,0.21214356943964957
LS_WILTY_EP72_lie4,1,0.4049080014228821,mean,LS,72,LS_EP72,LS_EP72,11:53,11:57,209568.0,fold1,0.5,0.6054642729461193,0,0,False,False,false_negative,-0.20055627152323718,0.4049080014228821,0.054619126663513734,0.3358324468135834,0.4521438777446747,4,0.20055627152323718
AN_WILTY_EP16_lie1,1,0.3322204649448395,mean,AN,16,AN_EP16,AN_EP16,2:04,2:07,187844.0,fold3,0.5,0.5113890767097473,0,0,False,False,false_negative,-0.17916861176490784,0.3322204649448395,0.009792388284397728,0.3244739472866058,0.3432270586490631,3,0.17916861176490784
SB_WILTY_EP42_lie1,1,0.4309144147804805,mean,SB,42,SB_EP42,SB_EP42,4:31,4:38,418868.0,fold1,0.5,0.6054642729461193,0,0,False,False,false_negative,-0.17454985816563878,0.43091441478048054,0.07375417207306008,0.3733910322189331,0.5872332453727722,7,0.17454985816563878
SB_WILTY_EP34_lie10,1,0.3402851521968841,mean,SB,34,SB_EP34,SB_EP34,4:47,4:51,228579.0,fold3,0.5,0.5113890767097473,0,0,False,False,false_negative,-0.17110392451286321,0.3402851521968841,0.008262010613523682,0.3341074883937835,0.3519702851772308,4,0.17110392451286321
LS_WILTY_EP2_lie1,1,0.3403568565845489,mean,LS,2,LS_EP2,LS_EP2,6:30,6:34,168295.0,fold3,0.5,0.5113890767097473,0,0,False,False,false_negative,-0.17103222012519842,0.34035685658454895,0.004535086511447493,0.3348000943660736,0.3456679284572601,4,0.17103222012519842
