video_id,label,score_lie,aggregation,host,episode,group_id,fold,calibrated_threshold,windows,suspect_windows,first_window_suspect,max_identity_clusters,min_dominant_ratio,max_cosine_distance,mean_cosine_distance,clip_suspect_contamination,suspect_window_ratio,default_error,calibrated_error
LS_WILTY_EP76_true9,0,0.3776763901114464,mean,LS,76,LS_EP76,fold3,0.49876815676689146,4,4,True,7,0.25,1.2940611839294434,0.5806551575660706,True,1.0,0,0
AN_WILTY_EP21_lie9,1,0.5222243269284567,mean,AN,21,AN_EP21,fold2,0.525233119726181,3,3,True,5,0.4375,1.2854450941085815,0.52800119916598,True,1.0,0,1
SB_WILTY_EP41_truth2,0,0.5304566025733948,mean,SB,41,SB_EP41,fold1,0.516522823061262,4,4,True,7,0.3125,1.2820466756820679,0.5306225940585136,True,1.0,1,1
BRI_WILTY_EP58_lie_27,1,0.4518152525027593,mean,BRI,58,BRI_EP58,fold2,0.525233119726181,6,6,True,7,0.3125,1.2622424364089966,0.5486913770437241,True,1.0,1,1
LS_WILTY_EP9_lie15,1,0.5163434743881226,mean,LS,9,LS_EP9,fold2,0.525233119726181,4,4,True,5,0.4375,1.255575180053711,0.48505692929029465,True,1.0,0,1
SB_WILTY_EP37_lie4,1,0.4570288111766179,mean,SB,37,SB_EP37,fold2,0.525233119726181,6,6,True,5,0.3125,1.2529983520507812,0.48951610426108044,True,1.0,1,1
SB_WILTY_EP37_truth1,0,0.5343691408634186,mean,SB,37,SB_EP37,fold2,0.525233119726181,4,4,True,6,0.4375,1.2515137195587158,0.4741132780909538,True,1.0,1,1
SB_WILTY_EP42_truth9,0,0.5047787576913834,mean,SB,42,SB_EP42,fold3,0.49876815676689146,6,6,True,6,0.375,1.24503755569458,0.5184409270683924,True,1.0,1,1
LS_WILTY_EP12_lie8,1,0.5142529726028442,mean,LS,12,LS_EP12,fold3,0.49876815676689146,5,5,True,7,0.25,1.2444236278533936,0.5389366388320923,True,1.0,0,0
LS_WILTY_EP10_truth9,0,0.5109149614969889,mean,LS,10,LS_EP10,fold3,0.49876815676689146,3,3,True,6,0.3125,1.2422378063201904,0.5032985409100851,True,1.0,1,1
LS_WILTY_EP9_lie14,1,0.5210806950926781,mean,LS,9,LS_EP9,fold1,0.516522823061262,4,4,True,8,0.25,1.2422047853469849,0.5482483729720116,True,1.0,0,0
SB_WILTY_EP42_truth8,0,0.3674759328365325,mean,SB,42,SB_EP42,fold2,0.525233119726181,5,5,True,6,0.25,1.240007758140564,0.5427990913391113,True,1.0,0,0
SB_WILTY_EP36_lie4,1,0.4141481220722198,mean,SB,36,SB_EP36,fold2,0.525233119726181,6,6,True,6,0.375,1.2384235858917236,0.4586724191904068,True,1.0,1,1
YW_WILTY_EP55_lie10,1,0.5498082041740417,mean,YW,55,YW_EP55,fold1,0.516522823061262,6,6,True,5,0.375,1.2330362796783447,0.452345406015714,True,1.0,0,0
LS_WILTY_EP2_truth7,0,0.4805883722645895,mean,LS,2,LS_EP2,fold3,0.49876815676689146,7,7,True,6,0.3125,1.2299747467041016,0.49390069927488056,True,1.0,0,0
LS_WILTY_EP73_ lie7,1,0.4620583727955818,mean,LS,73,LS_EP73,fold2,0.525233119726181,8,8,True,6,0.4375,1.2246006727218628,0.4632011353969574,True,1.0,1,1
SB_WILTY_EP42_truth7,0,0.4347330257296562,mean,SB,42,SB_EP42,fold2,0.525233119726181,4,4,True,6,0.25,1.2221195697784424,0.5305173769593239,True,1.0,0,0
LS_WILTY_EP2_truth4,0,0.5050312976042429,mean,LS,2,LS_EP2,fold3,0.49876815676689146,3,3,True,4,0.375,1.221137523651123,0.5578932563463846,True,1.0,1,1
AN_WILTY_EP21_truth4,0,0.4868105500936508,mean,AN,21,AN_EP21,fold1,0.516522823061262,6,6,True,6,0.25,1.2166029214859009,0.47886350254217785,True,1.0,0,0
YW_WILTY_EP56_truth4,0,0.4834021866321564,mean,YW,56,YW_EP56,fold2,0.525233119726181,5,5,True,5,0.375,1.2141190767288208,0.544697618484497,True,1.0,0,0
YW_WILTY_EP44_lie10,1,0.3806443214416504,mean,YW,44,YW_EP44,fold2,0.525233119726181,3,3,True,5,0.4375,1.2138563394546509,0.5039977133274078,True,1.0,1,1
SB_WILTY_EP38_lie6,1,0.5059949060281118,mean,SB,38,SB_EP38,fold3,0.49876815676689146,6,6,True,7,0.1875,1.2123500108718872,0.5812198321024576,True,1.0,0,0
BRI_WILTY_EP58_lie_28,1,0.5129608724798475,mean,BRI,58,BRI_EP58,fold1,0.516522823061262,7,7,True,7,0.25,1.2121529579162598,0.4790287230695997,True,1.0,0,1
LS_WILTY_EP4_lie3,1,0.4973284900188446,mean,LS,4,LS_EP4,fold3,0.49876815676689146,4,4,True,6,0.3125,1.2106989622116089,0.510578952729702,True,1.0,1,1
YW_WILTY_EP52_lie2,1,0.5111367642879486,mean,YW,52,YW_EP52,fold1,0.516522823061262,5,5,True,5,0.375,1.2092924118041992,0.4415270030498505,True,1.0,0,1
