episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
SB_EP32,13,3,10,0.3076923076923077,0.2,0.47058823529411764,0.4666666666666667,0.5384615384615384,0,3,6,4
LS_EP6,17,10,7,0.29411764705882354,0.25,0.0,0.4,0.29411764705882354,5,5,7,0
YW_EP46,18,10,8,0.2777777777777778,0.275,0.23529411764705882,0.2125,0.5,3,7,6,2
SB_EP35,19,11,8,0.3157894736842105,0.2897727272727273,0.13333333333333333,0.09090909090909088,0.3684210526315789,5,6,7,1
BRI_EP64,23,15,8,0.43478260869565216,0.3625,0.13333333333333333,0.36666666666666664,0.30434782608695654,9,6,7,1
YW_EP52,19,11,8,0.42105263157894735,0.36363636363636365,0.0,0.45454545454545453,0.15789473684210525,8,3,8,0
LS_EP3,20,6,14,0.45,0.369047619047619,0.5925925925925926,0.20238095238095238,0.65,1,5,6,8
AN_EP24,17,3,14,0.17647058823529413,0.369047619047619,0.125,0.1904761904761905,0.11764705882352941,2,1,13,1
SB_EP37,21,13,8,0.47619047619047616,0.38461538461538464,0.0,0.5384615384615385,0.14285714285714285,10,3,8,0
SB_EP31,15,8,7,0.4,0.4017857142857143,0.4,0.42857142857142855,0.5333333333333333,3,5,4,3
SB_EP33,9,6,3,0.5555555555555556,0.4166666666666667,0.0,0.3888888888888889,0.1111111111111111,5,1,3,0
SB_EP34,15,4,11,0.4,0.4318181818181818,0.47058823529411764,0.25,0.4,2,2,7,4
YW_EP50,30,15,15,0.43333333333333335,0.43333333333333335,0.37037037037037035,0.47555555555555556,0.4,8,7,10,5
BRI_EP66,19,16,3,0.7368421052631579,0.4375,0.0,0.47916666666666663,0.10526315789473684,14,2,3,0
YW_EP49,22,14,8,0.5,0.44642857142857145,0.26666666666666666,0.22321428571428573,0.3181818181818182,9,5,6,2
AN_EP18,23,8,15,0.4782608695652174,0.45416666666666666,0.5714285714285714,0.5416666666666667,0.5652173913043478,3,5,7,8
SB_EP29,17,7,10,0.47058823529411764,0.4857142857142857,0.47058823529411764,0.4571428571428572,0.4117647058823529,4,3,6,4
YW_EP47,25,7,18,0.6,0.503968253968254,0.7222222222222222,0.4761904761904762,0.72,2,5,5,13
BRI_EP65,18,10,8,0.5555555555555556,0.5125,0.2,0.775,0.1111111111111111,9,1,7,1
AN_EP19,21,6,15,0.5238095238095238,0.5166666666666666,0.6153846153846154,0.5666666666666667,0.5238095238095238,3,3,7,8
AN_EP22,28,10,18,0.5,0.5222222222222221,0.5333333333333333,0.5277777777777778,0.42857142857142855,6,4,10,8
LS_EP73,26,17,9,0.6153846153846154,0.522875816993464,0.2857142857142857,0.8104575163398692,0.19230769230769232,14,3,7,2
LS_EP9,30,10,20,0.6,0.525,0.7142857142857143,0.475,0.7333333333333333,3,7,5,15
LS_EP4,25,9,16,0.52,0.5277777777777778,0.5714285714285714,0.4375,0.48,5,4,8,8
LS_EP1,17,8,9,0.5294117647058824,0.5347222222222222,0.5,0.5833333333333334,0.4117647058823529,5,3,5,4
BRI_EP61,34,15,19,0.5,0.5385964912280702,0.32,0.7403508771929824,0.17647058823529413,13,2,15,4
BRI_EP59,24,13,11,0.5833333333333334,0.5454545454545454,0.16666666666666666,0.5524475524475525,0.041666666666666664,13,0,10,1
LS_EP7,26,12,14,0.5384615384615384,0.5476190476190476,0.5,0.5476190476190476,0.38461538461538464,8,4,8,6
BRI_EP62,31,19,12,0.6451612903225806,0.5570175438596491,0.26666666666666666,0.6491228070175438,0.0967741935483871,18,1,10,2
BRI_EP58,34,12,22,0.5294117647058824,0.5606060606060606,0.5555555555555556,0.6401515151515151,0.4117647058823529,8,4,12,10
YW_EP70,21,16,5,0.7619047619047619,0.56875,0.2857142857142857,0.6375,0.09523809523809523,15,1,4,1
YW_EP56,25,6,19,0.44,0.5745614035087719,0.46153846153846156,0.5350877192982456,0.28,5,1,13,6
LS_EP10,24,9,15,0.625,0.5888888888888888,0.7096774193548387,0.5037037037037038,0.6666666666666666,4,5,4,11
BRI_EP57,32,22,10,0.59375,0.5954545454545455,0.48,0.7363636363636363,0.46875,13,9,4,6
BRI_EP63,30,26,4,0.8666666666666667,0.6057692307692308,0.3333333333333333,0.47115384615384615,0.06666666666666667,25,1,3,1
AN_EP21,24,6,18,0.5833333333333334,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.5,4,2,8,10
SB_EP36,15,6,9,0.6,0.6111111111111112,0.625,0.4814814814814815,0.4666666666666667,4,2,4,5
YW_EP44,30,16,14,0.6333333333333333,0.6205357142857143,0.5217391304347826,0.78125,0.3,13,3,8,6
AN_EP17,18,8,10,0.6111111111111112,0.625,0.5882352941176471,0.6625,0.3888888888888889,6,2,5,5
AN_EP25,11,3,8,0.45454545454545453,0.625,0.4,0.7083333333333334,0.18181818181818182,3,0,6,2
YW_EP43,22,7,15,0.5454545454545454,0.6285714285714286,0.5454545454545454,0.7333333333333334,0.3181818181818182,6,1,9,6
LS_EP14,22,11,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6694214876033058,0.5,7,4,4,7
YW_EP54,14,7,7,0.6428571428571429,0.6428571428571428,0.6153846153846154,0.40816326530612246,0.42857142857142855,5,2,3,4
YW_EP45,26,7,19,0.6153846153846154,0.6466165413533835,0.6875,0.7518796992481204,0.5,5,2,8,11
LS_EP75,13,3,10,0.46153846153846156,0.65,0.46153846153846156,0.4666666666666667,0.23076923076923078,3,0,7,3
AN_EP26,17,12,5,0.7647058823529411,0.6583333333333333,0.5,0.9166666666666666,0.17647058823529413,11,1,3,2
LS_EP11,24,9,15,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.5259259259259259,0.5416666666666666,6,3,5,10
BRI_EP60,24,10,14,0.625,0.6785714285714286,0.5263157894736842,0.7285714285714285,0.20833333333333334,10,0,9,5
AN_EP27,16,10,6,0.6875,0.6833333333333333,0.6153846153846154,0.8,0.4375,7,3,2,4
LS_EP72,25,9,16,0.6,0.6875,0.5454545454545454,0.4652777777777778,0.24,9,0,10,6
YW_EP55,24,8,16,0.7083333333333334,0.6875,0.7741935483870968,0.7578125,0.625,5,3,4,12
SB_EP42,33,17,16,0.696969696969697,0.6893382352941176,0.5833333333333334,0.5845588235294118,0.24242424242424243,16,1,9,7
AN_EP16,26,14,12,0.6923076923076923,0.6964285714285714,0.6923076923076923,0.6607142857142856,0.5384615384615384,9,5,3,9
SB_EP41,20,5,15,0.65,0.7,0.72,0.49333333333333335,0.5,4,1,6,9
YW_EP53,27,14,13,0.7037037037037037,0.7005494505494505,0.6666666666666666,0.6703296703296704,0.4074074074074074,11,3,5,8
LS_EP12,22,6,16,0.7272727272727273,0.7083333333333333,0.8,0.78125,0.6363636363636364,4,2,4,12
AN_EP15,24,12,12,0.7083333333333334,0.7083333333333334,0.7407407407407407,0.7986111111111112,0.625,7,5,2,10
LS_EP13,24,11,13,0.7083333333333334,0.7307692307692308,0.631578947368421,0.6993006993006994,0.25,11,0,7,6
YW_EP51,15,6,9,0.8,0.75,0.8571428571428571,0.6666666666666666,0.8,3,3,0,9
LS_EP5,22,14,8,0.7727272727272727,0.7678571428571428,0.7058823529411765,0.7410714285714286,0.4090909090909091,11,3,2,6
YW_EP48,20,9,11,0.8,0.8181818181818181,0.7777777777777778,0.8080808080808082,0.35,9,0,4,7
AN_EP28,17,11,6,0.8823529411764706,0.8333333333333333,0.8,0.8939393939393939,0.23529411764705882,11,0,2,4
LS_EP2,19,8,11,0.8421052631578947,0.8465909090909092,0.8571428571428571,0.8181818181818182,0.5263157894736842,7,1,2,9
AN_EP20,16,5,11,0.8125,0.8636363636363636,0.8421052631578947,0.8363636363636364,0.5,5,0,3,8
LS_EP76,18,14,4,0.8888888888888888,0.9285714285714286,0.8,0.8928571428571429,0.3333333333333333,12,2,0,4
AN_EP23,8,8,0,1.0,1.0,0.0,,0.0,8,0,0,0
