fold,method,method_label,weights,threshold,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1,calibrated_confusion_matrix
fold1,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.6780782699584961,0.628099173553719,0.6181799482336001,0.6896551724137931,0.6128688233202986,0.6527880148785546,0.6608358345658406,0.5723140495867769,0.5821063096727747,0.6488095238095238,0.42412451361867703,0.5129411764705882,0.5658628534286643,"[[168, 59], [148, 109]]"
fold2,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.5096237480640411,0.524896265560166,0.5,0.6884353741496598,0.3442176870748299,0.6094637278423115,0.6211530470562298,0.5809128630705395,0.5825638193209866,0.6123348017621145,0.549407114624506,0.5791666666666667,0.5809056473829202,"[[141, 88], [114, 139]]"
fold3,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.48952546148073106,0.4892241379310345,0.5117230453825365,0.18556701030927836,0.4067552476978103,0.5793495480383934,0.5889112470344231,0.5107758620689655,0.5258317025440313,0.5833333333333334,0.2571428571428571,0.35694050991501414,0.481078950609681,"[[174, 45], [182, 63]]"
fold1,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=1.00;gated_prior_kl=0.00,0.6780782699584961,0.628099173553719,0.6181799482336001,0.6896551724137931,0.6128688233202986,0.6527880148785546,0.6608358345658406,0.5723140495867769,0.5821063096727747,0.6488095238095238,0.42412451361867703,0.5129411764705882,0.5658628534286643,"[[168, 59], [148, 109]]"
fold2,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.79;gated_prior_kl=0.21,0.5153564816514651,0.5746887966804979,0.5565441772960285,0.6944858420268256,0.49741356947757664,0.6753887843692286,0.6766462831743173,0.6099585062240664,0.6193451507672126,0.7124183006535948,0.4308300395256917,0.5369458128078818,0.6000141250419337,"[[185, 44], [144, 109]]"
fold3,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.04;gated_prior_kl=0.96,0.5139215967059135,0.5948275862068966,0.5894324853228963,0.6412213740458015,0.5879374196961681,0.6234647283570963,0.6499739266706548,0.6012931034482759,0.6035504612804026,0.6388888888888888,0.563265306122449,0.5986984815618221,0.6012764356417248,"[[141, 78], [107, 138]]"
fold1,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.76;gated_prior_kl=0.24,0.6449432743489742,0.621900826446281,0.6092579577983853,0.6955074875207987,0.5984349426704811,0.6533708154065034,0.6650686330406983,0.5909090909090909,0.5975590942594148,0.6528497409326425,0.490272373540856,0.56,0.588880308880309,"[[160, 67], [131, 126]]"
fold2,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.91;gated_prior_kl=0.09,0.5122783854107062,0.5705394190871369,0.5505203928404991,0.6995645863570392,0.47341865681488327,0.6658266738008526,0.6551488191596557,0.6037344398340249,0.6130020539551582,0.7012987012987013,0.4268774703557312,0.5307125307125307,0.5939020463257447,"[[183, 46], [145, 108]]"
fold3,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.60;gated_prior_kl=0.40,0.4801284463916506,0.5754310344827587,0.5865716149473488,0.4909560723514212,0.563407795879962,0.6267635821451868,0.6395139136750426,0.6012931034482759,0.5919206038579815,0.5961538461538461,0.7591836734693878,0.6678635547576302,0.5846056318262545,"[[93, 126], [59, 186]]"
fold1,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.6054642729461193,0.5681818181818182,0.5463326419719228,0.6885245901639344,0.49241044323011535,0.6176657124736453,0.6347108185161672,0.5702479338842975,0.5745041910214437,0.6161137440758294,0.5058365758754864,0.5555555555555556,0.5697777777777777,"[[146, 81], [127, 130]]"
fold2,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5355864841313589,0.6016597510373444,0.5886566442860348,0.6913183279742765,0.5649574096011734,0.6772528781262406,0.679869076530359,0.5933609958506224,0.6043633602015983,0.708029197080292,0.383399209486166,0.49743589743589745,0.5779862414008756,"[[189, 40], [156, 97]]"
fold3,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5113890767097473,0.5969827586206896,0.5914733016494269,0.6438095238095238,0.5898948363464492,0.6233156276209115,0.6535951132135992,0.5969827586206896,0.5965613642717361,0.6218487394957983,0.6040816326530613,0.6128364389233955,0.5963058599111359,"[[129, 90], [97, 148]]"
