video_id,label,score_lie,fusion_method,fold,threshold,pred,correct,margin,error_type,host,episode,episode_group_id,group_id,file_name,start_time,end_time,clip_suspect_contamination,first_window_suspect,suspect_window_ratio,max_identity_clusters,min_dominant_ratio,max_cosine_distance
YW_WILTY_EP49_lie5,1,0.2726090013980865,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.40546926856040955,FN,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_lie5,16:33,16:38,True,False,0.8,4,0.375,0.8879259824752808
YW_WILTY_EP54_lie4,1,0.2742256700992584,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.40385259985923766,FN,YW,54,YW_EP54,YW_EP54,YW_WILTY_EP54_lie4,16:59,17:04,True,False,0.6,2,0.6875,0.8138206005096436
BRI_WILTY_EP59_lie_14,1,0.275390475988388,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.40268779397010807,FN,BRI,59,BRI_EP59,BRI_EP59,BRI_WILTY_EP59_lie_14,11:05,11:08,True,True,1.0,4,0.625,1.0372159481048584
SB_WILTY_EP29_lie2,1,0.2781528830528259,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.39992538690567014,FN,SB,29,SB_EP29,SB_EP29,SB_WILTY_EP29_lie2,1:36,1:43,True,True,0.7142857142857143,5,0.4375,0.9033175706863404
BRI_WILTY_EP59_deception_23,1,0.2788022557894389,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.39927601416905717,FN,BRI,59,BRI_EP59,BRI_EP59,BRI_WILTY_EP59_deception_23,20:48,20:51,True,True,0.6666666666666666,3,0.5625,0.7190665006637573
BRI_WILTY_EP59_deception_21,1,0.2790516495704651,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.399026620388031,FN,BRI,59,BRI_EP59,BRI_EP59,BRI_WILTY_EP59_deception_21,20:16,20:21,True,False,0.6,2,0.5625,0.9456012845039368
AN_WILTY_EP24_lie1,1,0.2795181473096211,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.39856012264887497,FN,AN,24,AN_EP24,AN_EP24,AN_WILTY_EP24_lie1,0:03,0:06,True,True,1.0,5,0.4375,1.071347713470459
YW_WILTY_EP49_lie2,1,0.2804060310125351,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.397672238945961,FN,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_lie2,15:08,15:18,True,True,0.7,4,0.375,1.0189789533615112
YW_WILTY_EP54_lie3,1,0.2807249575853348,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3973533123731613,FN,YW,54,YW_EP54,YW_EP54,YW_WILTY_EP54_lie3,16:39,16:43,True,True,1.0,4,0.4375,1.0619056224822998
SB_WILTY_EP37_lie2,1,0.281357479095459,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3967207908630371,FN,SB,37,SB_EP37,SB_EP37,SB_WILTY_EP37_lie2,2:07,2:12,True,False,0.6,3,0.375,1.0602531433105469
YW_WILTY_EP49_lie1,1,0.2822587490081787,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.39581952095031736,FN,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_lie1,11:22,11:25,True,True,1.0,5,0.375,1.1131647825241089
YW_WILTY_EP53_lie1,1,0.2834355745996748,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3946426953588213,FN,YW,53,YW_EP53,YW_EP53,YW_WILTY_EP53_lie1,11:05,11:12,True,False,0.2857142857142857,3,0.5,0.9549770355224608
LS_WILTY_EP6_lie1,1,0.2902244329452514,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.38785383701324466,FN,LS,6,LS_EP6,LS_EP6,LS_WILTY_EP6_lie1,4:39,4:44,True,True,0.8,4,0.5,1.0339573621749878
LS_WILTY_EP72_lie4,1,0.2910501062870025,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.38702816367149356,FN,LS,72,LS_EP72,LS_EP72,LS_WILTY_EP72_lie4,11:53,11:57,True,False,0.5,5,0.4375,1.0012950897216797
BRI_WILTY_EP62_lie_29,1,0.2934899851679802,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3845882847905159,FN,BRI,62,BRI_EP62,BRI_EP62,BRI_WILTY_EP62_lie_29,23:19,23:23,True,True,0.75,2,0.5625,0.9131479859352112
AN_WILTY_EP24_lie13,1,0.2980118468403816,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.38006642311811445,FN,AN,24,AN_EP24,AN_EP24,AN_WILTY_EP24_lie13,8:29,8:33,True,True,1.0,5,0.375,0.9539639949798584
YW_WILTY_EP56_lie6,1,0.2999268174171448,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3781514525413513,FN,YW,56,YW_EP56,YW_EP56,YW_WILTY_EP56_lie6,10:40,10:44,True,True,0.75,3,0.625,0.9775071740150452
LS_WILTY_EP5_lie7,1,0.3007972911000252,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3772809788584709,FN,LS,5,LS_EP5,LS_EP5,LS_WILTY_EP5_lie7,25:30,25:34,False,False,0.0,3,0.875,0.9025312662124634
LS_WILTY_EP75_lie9,1,0.3049716576933861,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.37310661226511,FN,LS,75,LS_EP75,LS_EP75,LS_WILTY_EP75_lie9,23:31,23:39,True,True,0.5,3,0.375,1.0767159461975098
SB_WILTY_EP42_lie1,1,0.3107080587318965,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3673702112265996,FN,SB,42,SB_EP42,SB_EP42,SB_WILTY_EP42_lie1,4:31,4:38,False,False,0.0,3,0.75,0.9894691109657288
LS_WILTY_EP6_lie6,1,0.3245761791865031,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.35350209077199296,FN,LS,6,LS_EP6,LS_EP6,LS_WILTY_EP6_lie6,22:26,22:32,True,True,0.5,3,0.5,0.8607105612754822
LS_WILTY_EP75_lie7,1,0.330864280462265,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.34721398949623106,FN,LS,75,LS_EP75,LS_EP75,LS_WILTY_EP75_lie7,22:49,22:52,True,False,0.6666666666666666,3,0.625,0.865371823310852
YW_WILTY_EP52_lie2,1,0.3386779069900513,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3394003629684448,FN,YW,52,YW_EP52,YW_EP52,YW_WILTY_EP52_lie2,13:52,13:57,True,True,1.0,5,0.375,1.2092924118041992
SB_WILTY_EP36_lie3,1,0.3391904458403587,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3388878241181374,FN,SB,36,SB_EP36,SB_EP36,SB_WILTY_EP36_lie3,1:06,1:14,True,True,0.875,6,0.375,1.130798578262329
YW_WILTY_EP48_lie3,1,0.3404621332883835,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3376161366701126,FN,YW,48,YW_EP48,YW_EP48,YW_WILTY_EP48_lie3,12:14,12:18,True,True,1.0,4,0.375,1.1855168342590332
LS_WILTY_EP11_lie11,1,0.3491870760917663,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.32889119386672977,FN,LS,11,LS_EP11,LS_EP11,LS_WILTY_EP11_lie11,22:35,22:38,False,False,0.0,3,0.75,0.8051077127456665
YW_WILTY_EP49_lie4,1,0.3515827134251594,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3264955565333367,FN,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_lie4,16:19,16:23,True,True,1.0,4,0.4375,0.9633321166038512
LS_WILTY_EP13_lie8,1,0.3603888928890228,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.31768937706947326,FN,LS,13,LS_EP13,LS_EP13,LS_WILTY_EP13_lie8,15:36,15:41,True,False,0.2,2,0.5625,0.8362954258918762
LS_WILTY_EP72_lie6,1,0.3619931663076083,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.31608510365088777,FN,LS,72,LS_EP72,LS_EP72,LS_WILTY_EP72_lie6,14:58,15:10,True,True,0.75,6,0.3125,1.205621600151062
SB_WILTY_EP34_lie7,1,0.366761714220047,ensemble_raw_auc_roc,fold1,0.6780782699584961,0,False,0.3113165557384491,FN,SB,34,SB_EP34,SB_EP34,SB_WILTY_EP34_lie7,3:44,3:49,True,True,1.0,5,0.375,1.055939555168152
