episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
AN_EP24,17,3,14,0.23529411764705882,0.14285714285714285,0.38095238095238093,0.2142857142857143,0.4117647058823529,0,3,10,4
SB_EP36,15,6,9,0.26666666666666666,0.2222222222222222,0.42105263157894735,0.33333333333333337,0.6666666666666666,0,6,5,4
YW_EP49,22,14,8,0.2727272727272727,0.26785714285714285,0.2,0.3482142857142857,0.5454545454545454,4,10,6,2
YW_EP46,18,10,8,0.2777777777777778,0.2875,0.3157894736842105,0.275,0.6111111111111112,2,8,5,3
SB_EP35,19,11,8,0.3157894736842105,0.32386363636363635,0.3157894736842105,0.375,0.5789473684210527,3,8,5,3
SB_EP32,13,3,10,0.5384615384615384,0.35,0.7,0.23333333333333336,0.7692307692307693,0,3,3,7
LS_EP3,20,6,14,0.45,0.369047619047619,0.5925925925925926,0.2857142857142857,0.65,1,5,6,8
LS_EP10,24,9,15,0.4583333333333333,0.38888888888888884,0.6060606060606061,0.3111111111111111,0.75,1,8,5,10
LS_EP6,17,10,7,0.4117647058823529,0.39285714285714285,0.2857142857142857,0.4142857142857143,0.4117647058823529,5,5,5,2
SB_EP29,17,7,10,0.4117647058823529,0.39285714285714285,0.5,0.5571428571428572,0.5882352941176471,2,5,5,5
LS_EP12,22,6,16,0.5,0.3958333333333333,0.6451612903225806,0.5625,0.6818181818181818,1,5,6,10
AN_EP28,17,11,6,0.47058823529411764,0.4015151515151515,0.18181818181818182,0.6212121212121212,0.29411764705882354,7,4,5,1
YW_EP56,25,6,19,0.44,0.40350877192982454,0.5625,0.35964912280701755,0.52,2,4,10,9
LS_EP14,22,11,11,0.4090909090909091,0.40909090909090906,0.5185185185185185,0.47107438016528924,0.7272727272727273,2,9,4,7
SB_EP31,15,8,7,0.4,0.4107142857142857,0.47058823529411764,0.2857142857142857,0.6666666666666666,2,6,3,4
AN_EP19,21,6,15,0.5238095238095238,0.41666666666666663,0.6666666666666666,0.47777777777777775,0.7142857142857143,1,5,5,10
SB_EP33,9,6,3,0.4444444444444444,0.41666666666666663,0.2857142857142857,0.22222222222222224,0.4444444444444444,3,3,2,1
LS_EP4,25,9,16,0.48,0.44791666666666663,0.5806451612903226,0.4444444444444445,0.6,3,6,7,9
YW_EP47,25,7,18,0.56,0.47619047619047616,0.6857142857142857,0.5555555555555556,0.68,2,5,6,12
BRI_EP66,19,16,3,0.5789473684210527,0.47916666666666663,0.2,0.4375,0.3684210526315789,10,6,2,1
BRI_EP64,23,15,8,0.4782608695652174,0.48333333333333334,0.4,0.3416666666666666,0.5217391304347826,7,8,4,4
BRI_EP63,30,26,4,0.6666666666666666,0.49038461538461536,0.16666666666666666,0.5961538461538461,0.26666666666666666,19,7,3,1
AN_EP22,28,10,18,0.5,0.5,0.5625,0.4888888888888889,0.5,5,5,9,9
SB_EP37,21,13,8,0.5714285714285714,0.5096153846153846,0.3076923076923077,0.47115384615384615,0.23809523809523808,10,3,6,2
BRI_EP62,31,19,12,0.5161290322580645,0.513157894736842,0.4444444444444444,0.543859649122807,0.4838709677419355,10,9,6,6
AN_EP18,23,8,15,0.5652173913043478,0.5208333333333333,0.6666666666666666,0.6583333333333334,0.6521739130434783,3,5,5,10
BRI_EP59,24,13,11,0.5416666666666666,0.520979020979021,0.35294117647058826,0.4405594405594405,0.25,10,3,8,3
LS_EP9,30,10,20,0.6,0.525,0.7142857142857143,0.57,0.7333333333333333,3,7,5,15
YW_EP45,26,7,19,0.5769230769230769,0.5300751879699248,0.6857142857142857,0.5488721804511278,0.6153846153846154,3,4,7,12
YW_EP52,19,11,8,0.5263157894736842,0.5397727272727273,0.5263157894736842,0.5795454545454546,0.5789473684210527,5,6,3,5
LS_EP11,24,9,15,0.5416666666666666,0.5444444444444445,0.5925925925925926,0.5407407407407407,0.5,5,4,7,8
YW_EP43,22,7,15,0.5909090909090909,0.5476190476190476,0.6896551724137931,0.580952380952381,0.6363636363636364,3,4,5,10
LS_EP73,26,17,9,0.6153846153846154,0.5490196078431372,0.375,0.6862745098039216,0.2692307692307692,13,4,6,3
BRI_EP57,32,22,10,0.5,0.5545454545454546,0.4666666666666667,0.5727272727272728,0.625,9,13,3,7
YW_EP44,30,16,14,0.5666666666666667,0.5625,0.5185185185185185,0.5892857142857143,0.43333333333333335,10,6,7,7
