video_id,label,score_lie,fusion_method,fold,threshold,pred,correct,margin,error_type,host,episode,episode_group_id,group_id,file_name,start_time,end_time,clip_suspect_contamination,first_window_suspect,suspect_window_ratio,max_identity_clusters,min_dominant_ratio,max_cosine_distance
BRI_WILTY_EP62_lie_30,1,0.4076855977376302,ensemble_raw_auc_roc,fold1,0.5063578434501376,0,False,0.09867224571250738,FN,BRI,62,BRI_EP62,BRI_EP62,BRI_WILTY_EP62_lie_30,23:27,23:30,False,False,0.0,3,0.8125,0.9658974409103394
LS_WILTY_EP2_lie1,1,0.4029757030308246,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.09625949176649268,FN,LS,2,LS_EP2,LS_EP2,LS_WILTY_EP2_lie1,6:30,6:34,True,True,1.0,5,0.3125,1.134532451629639
BRI_WILTY_EP62_lie_29,1,0.4108350910246371,ensemble_raw_auc_roc,fold1,0.5063578434501376,0,False,0.09552275242550046,FN,BRI,62,BRI_EP62,BRI_EP62,BRI_WILTY_EP62_lie_29,23:19,23:23,True,True,0.75,2,0.5625,0.9131479859352112
BRI_WILTY_EP57_lie_16,1,0.4047813579440116,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.09445383685330566,FN,BRI,57,BRI_EP57,BRI_EP57,BRI_WILTY_EP57_lie_16,14:41,14:47,True,False,0.1666666666666666,3,0.6875,0.9449723362922668
BRI_WILTY_EP60_lie_8,1,0.4109406063954035,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.08829458840191379,FN,BRI,60,BRI_EP60,BRI_EP60,BRI_WILTY_EP60_lie_8,12:52,12:58,True,True,0.3333333333333333,4,0.3125,1.1050325632095337
YW_WILTY_EP70_lie17,1,0.4198150269687176,ensemble_raw_auc_roc,fold1,0.5063578434501376,0,False,0.08654281648141998,FN,YW,70,YW_EP70,YW_EP70,YW_WILTY_EP70_lie17,18:10,18:14,True,False,0.25,2,0.625,1.2015669345855713
LS_WILTY_EP72_lie7,1,0.4190448474884033,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.08019034730891395,FN,LS,72,LS_EP72,LS_EP72,LS_WILTY_EP72_lie7,15:17,15:22,True,True,1.0,5,0.4375,1.09885835647583
LS_WILTY_EP9_lie2,1,0.420362956325213,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.07887223847210428,FN,LS,9,LS_EP9,LS_EP9,LS_WILTY_EP9_lie2,2:29,2:32,True,True,1.0,5,0.375,0.9686970114707948
YW_WILTY_EP70_lie20,1,0.4218118853867053,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.07742330941061198,FN,YW,70,YW_EP70,YW_EP70,YW_WILTY_EP70_lie20,19:55,19:59,False,False,0.0,3,0.8125,0.9724297523498536
LS_WILTY_EP1_lie5,1,0.4228410109877586,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.07639418380955865,FN,LS,1,LS_EP1,LS_EP1,LS_WILTY_EP1_lie5,14:26,14:32,True,True,0.3333333333333333,4,0.375,1.043182611465454
YW_WILTY_EP70_lie19,1,0.4236736476421355,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.07556154715518176,FN,YW,70,YW_EP70,YW_EP70,YW_WILTY_EP70_lie19,19:43,19:47,False,False,0.0,4,0.75,0.8350731134414673
SB_WILTY_EP34_lie10,1,0.4240547209978103,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.07518047379950699,FN,SB,34,SB_EP34,SB_EP34,SB_WILTY_EP34_lie10,4:47,4:51,True,True,0.5,3,0.5625,0.9932174682617188
YW_WILTY_EP56_lie10,1,0.4075523614883422,ensemble_raw_auc_roc,fold2,0.48187993516772987,0,False,0.07432757367938769,FN,YW,56,YW_EP56,YW_EP56,YW_WILTY_EP56_lie10,12:04,12:08,True,False,0.25,4,0.6875,0.805742621421814
BRI_WILTY_EP63_lie_30,1,0.4085500105470418,ensemble_raw_auc_roc,fold2,0.48187993516772987,0,False,0.07332992462068805,FN,BRI,63,BRI_EP63,BRI_EP63,BRI_WILTY_EP63_lie_30,17:53,18:01,False,False,0.0,3,0.75,1.0365517139434814
BRI_WILTY_EP59_lie_15,1,0.4086859192699194,ensemble_raw_auc_roc,fold2,0.48187993516772987,0,False,0.0731940158978105,FN,BRI,59,BRI_EP59,BRI_EP59,BRI_WILTY_EP59_lie_15,13:13,13:17,True,False,0.75,4,0.5,1.0244067907333374
YW_WILTY_EP46_lie6,1,0.4089009115844965,ensemble_raw_auc_roc,fold2,0.48187993516772987,0,False,0.07297902358323338,FN,YW,46,YW_EP46,YW_EP46,YW_WILTY_EP46_lie6,14:39,14:43,False,False,0.0,3,0.8125,1.107709527015686
SB_WILTY_EP37_lie1,1,0.426783252613885,ensemble_raw_auc_roc,fold3,0.49923519479731726,0,False,0.07245194218343226,FN,SB,37,SB_EP37,SB_EP37,SB_WILTY_EP37_lie1,1:41,1:48,True,True,1.0,6,0.375,1.1559313535690308
