episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
SB_EP36,15,6,9,0.26666666666666666,0.2222222222222222,0.42105263157894735,0.29629629629629634,0.6666666666666666,0,6,5,4
SB_EP32,13,3,10,0.38461538461538464,0.25,0.5555555555555556,0.33333333333333337,0.6153846153846154,0,3,5,5
LS_EP3,20,6,14,0.3,0.2619047619047619,0.4166666666666667,0.32142857142857145,0.5,1,5,9,5
YW_EP46,18,10,8,0.2777777777777778,0.2625,0.13333333333333333,0.25,0.3888888888888889,4,6,7,1
SB_EP31,15,8,7,0.26666666666666666,0.26785714285714285,0.26666666666666666,0.26785714285714285,0.5333333333333333,2,6,5,2
AN_EP24,17,3,14,0.23529411764705882,0.2738095238095238,0.3157894736842105,0.11904761904761905,0.29411764705882354,1,2,11,3
LS_EP6,17,10,7,0.35294117647058826,0.3,0.0,0.4857142857142857,0.23529411764705882,6,4,7,0
SB_EP35,19,11,8,0.3157894736842105,0.32386363636363635,0.3157894736842105,0.4431818181818182,0.5789473684210527,3,8,5,3
YW_EP52,19,11,8,0.3684210526315789,0.3352272727272727,0.14285714285714285,0.48863636363636365,0.3157894736842105,6,5,7,1
YW_EP49,22,14,8,0.36363636363636365,0.3392857142857143,0.2222222222222222,0.3928571428571429,0.45454545454545453,6,8,6,2
AN_EP19,21,6,15,0.42857142857142855,0.35,0.5714285714285714,0.5222222222222223,0.6190476190476191,1,5,7,8
BRI_EP66,19,16,3,0.631578947368421,0.375,0.0,0.375,0.21052631578947367,12,4,3,0
SB_EP33,9,6,3,0.4444444444444444,0.41666666666666663,0.2857142857142857,0.27777777777777773,0.4444444444444444,3,3,2,1
AN_EP22,28,10,18,0.42857142857142855,0.4444444444444444,0.4666666666666667,0.48333333333333334,0.42857142857142855,5,5,11,7
SB_EP29,17,7,10,0.47058823529411764,0.4642857142857143,0.5263157894736842,0.4,0.5294117647058824,3,4,5,5
SB_EP37,21,13,8,0.5238095238095238,0.47115384615384615,0.2857142857142857,0.41346153846153844,0.2857142857142857,9,4,6,2
BRI_EP57,32,22,10,0.46875,0.4772727272727273,0.37037037037037035,0.5863636363636364,0.53125,10,12,5,5
LS_EP4,25,9,16,0.52,0.47916666666666663,0.625,0.4652777777777778,0.64,3,6,6,10
LS_EP12,22,6,16,0.5454545454545454,0.47916666666666663,0.6666666666666666,0.5208333333333333,0.6363636363636364,2,4,6,10
BRI_EP58,34,12,22,0.5,0.4810606060606061,0.5853658536585366,0.6098484848484848,0.5588235294117647,5,7,10,12
BRI_EP64,23,15,8,0.5217391304347826,0.4875,0.35294117647058826,0.45833333333333337,0.391304347826087,9,6,5,3
YW_EP47,25,7,18,0.6,0.503968253968254,0.7222222222222222,0.5634920634920635,0.72,2,5,5,13
LS_EP1,17,8,9,0.5294117647058824,0.5208333333333333,0.6,0.4027777777777778,0.6470588235294118,3,5,3,6
LS_EP73,26,17,9,0.6153846153846154,0.522875816993464,0.2857142857142857,0.6666666666666666,0.19230769230769232,14,3,7,2
BRI_EP65,18,10,8,0.5555555555555556,0.525,0.3333333333333333,0.675,0.2222222222222222,8,2,6,2
BRI_EP63,30,26,4,0.7333333333333333,0.5288461538461539,0.2,0.5576923076923077,0.2,21,5,3,1
LS_EP10,24,9,15,0.5833333333333334,0.5333333333333333,0.6875,0.42222222222222217,0.7083333333333334,3,6,4,11
BRI_EP62,31,19,12,0.5806451612903226,0.5350877192982456,0.38095238095238093,0.5745614035087719,0.2903225806451613,14,5,8,4
YW_EP43,22,7,15,0.5909090909090909,0.5476190476190476,0.6896551724137931,0.5238095238095238,0.6363636363636364,3,4,5,10
AN_EP18,23,8,15,0.6086956521739131,0.5541666666666667,0.7096774193548387,0.6666666666666667,0.6956521739130435,3,5,4,11
BRI_EP59,24,13,11,0.5833333333333334,0.5594405594405594,0.375,0.46153846153846156,0.20833333333333334,11,2,8,3
YW_EP50,30,15,15,0.5666666666666667,0.5666666666666667,0.5517241379310345,0.6533333333333333,0.4666666666666667,9,6,7,8
LS_EP11,24,9,15,0.5416666666666666,0.5666666666666667,0.56,0.6444444444444445,0.4166666666666667,6,3,8,7
YW_EP70,21,16,5,0.7619047619047619,0.56875,0.2857142857142857,0.525,0.09523809523809523,15,1,4,1
AN_EP17,18,8,10,0.5555555555555556,0.575,0.5,0.6375,0.3333333333333333,6,2,6,4
LS_EP7,26,12,14,0.5769230769230769,0.5773809523809523,0.5925925925925926,0.6130952380952381,0.5,7,5,6,8
BRI_EP61,34,15,19,0.5588235294117647,0.5842105263157895,0.4827586206896552,0.7157894736842105,0.29411764705882354,12,3,12,7
LS_EP14,22,11,11,0.5909090909090909,0.5909090909090909,0.64,0.5289256198347108,0.6363636363636364,5,6,3,8
YW_EP45,26,7,19,0.6153846153846154,0.6015037593984962,0.7058823529411765,0.556390977443609,0.5769230769230769,4,3,7,12
YW_EP44,30,16,14,0.6333333333333333,0.6205357142857143,0.5217391304347826,0.5625,0.3,13,3,8,6
LS_EP9,30,10,20,0.6666666666666666,0.625,0.75,0.5599999999999999,0.6666666666666666,5,5,5,15
AN_EP15,24,12,12,0.625,0.625,0.7096774193548387,0.7708333333333333,0.7916666666666666,4,8,1,11
LS_EP5,22,14,8,0.5909090909090909,0.625,0.5714285714285714,0.5982142857142857,0.5909090909090909,7,7,2,6
BRI_EP60,24,10,14,0.5833333333333334,0.6285714285714286,0.5,0.6928571428571428,0.25,9,1,9,5
LS_EP13,24,11,13,0.625,0.6328671328671329,0.6086956521739131,0.6013986013986014,0.4166666666666667,8,3,6,7
LS_EP72,25,9,16,0.64,0.6458333333333333,0.6896551724137931,0.6458333333333333,0.52,6,3,6,10
AN_EP28,17,11,6,0.7058823529411765,0.6590909090909092,0.5454545454545454,0.6666666666666667,0.29411764705882354,9,2,3,3
YW_EP48,20,9,11,0.65,0.6616161616161615,0.631578947368421,0.7777777777777778,0.4,7,2,5,6
SB_EP41,20,5,15,0.8,0.6666666666666667,0.875,0.5466666666666666,0.85,2,3,1,14
AN_EP26,17,12,5,0.7058823529411765,0.675,0.5454545454545454,0.6833333333333333,0.35294117647058826,9,3,2,3
AN_EP27,16,10,6,0.6875,0.6833333333333333,0.6153846153846154,0.9833333333333334,0.4375,7,3,2,4
YW_EP55,24,8,16,0.75,0.6875,0.8235294117647058,0.6640625,0.75,4,4,2,14
AN_EP16,26,14,12,0.6923076923076923,0.6904761904761905,0.6666666666666666,0.8452380952380952,0.46153846153846156,10,4,4,8
SB_EP42,33,17,16,0.696969696969697,0.6911764705882353,0.6153846153846154,0.7794117647058824,0.30303030303030304,15,2,8,8
LS_EP2,19,8,11,0.6842105263157895,0.6931818181818181,0.7,0.7159090909090908,0.47368421052631576,6,2,4,7
YW_EP51,15,6,9,0.7333333333333333,0.6944444444444444,0.8,0.6666666666666667,0.7333333333333333,3,3,1,8
YW_EP53,27,14,13,0.7037037037037037,0.7032967032967032,0.6923076923076923,0.6703296703296704,0.48148148148148145,10,4,4,9
YW_EP56,25,6,19,0.56,0.7105263157894737,0.5925925925925926,0.543859649122807,0.32,6,0,11,8
LS_EP76,18,14,4,0.8333333333333334,0.7142857142857143,0.5714285714285714,0.8392857142857142,0.16666666666666666,13,1,2,2
YW_EP54,14,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5,5,2,2,5
AN_EP21,24,6,18,0.6666666666666666,0.7222222222222223,0.7333333333333333,0.7129629629629629,0.5,5,1,7,11
SB_EP34,15,4,11,0.6,0.7272727272727273,0.625,0.6818181818181819,0.3333333333333333,4,0,6,5
LS_EP75,13,3,10,0.6153846153846154,0.75,0.6666666666666666,0.9666666666666668,0.38461538461538464,3,0,5,5
AN_EP25,11,3,8,0.6363636363636364,0.75,0.6666666666666666,0.7916666666666667,0.36363636363636365,3,0,4,4
AN_EP20,16,5,11,0.8125,0.8636363636363636,0.8421052631578947,1.0,0.5,5,0,3,8
AN_EP23,8,8,0,1.0,1.0,0.0,,0.0,8,0,0,0
