video_id,label,score_lie,fusion_method,fold,threshold,pred,correct,margin,error_type,host,episode,episode_group_id,group_id,file_name,start_time,end_time,clip_suspect_contamination,first_window_suspect,suspect_window_ratio,max_identity_clusters,min_dominant_ratio,max_cosine_distance
AN_WILTY_EP24_lie7,1,0.327954100370407,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1867659205570817,FN,AN,24,AN_EP24,AN_EP24,AN_WILTY_EP24_lie7,2:15,2:22,True,True,0.5714285714285714,3,0.5625,0.9709561467170716
YW_WILTY_EP46_lie6,1,0.3353426387161016,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1793773822113871,FN,YW,46,YW_EP46,YW_EP46,YW_WILTY_EP46_lie6,14:39,14:43,False,False,0.0,3,0.8125,1.107709527015686
BRI_WILTY_EP63_lie_30,1,0.3530594632774591,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.16166055765002962,FN,BRI,63,BRI_EP63,BRI_EP63,BRI_WILTY_EP63_lie_30,17:53,18:01,False,False,0.0,3,0.75,1.0365517139434814
YW_WILTY_EP56_lie10,1,0.3556496948003768,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.15907032612711192,FN,YW,56,YW_EP56,YW_EP56,YW_WILTY_EP56_lie10,12:04,12:08,True,False,0.25,4,0.6875,0.805742621421814
SB_WILTY_EP35_lie2,1,0.3561417390704155,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.15857828185707318,FN,SB,35,SB_EP35,SB_EP35,SB_WILTY_EP35_lie2,5:44,5:49,True,True,0.6,4,0.5,1.0030553340911863
SB_WILTY_EP29_lie8,1,0.3617973290880521,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.15292269183943658,FN,SB,29,SB_EP29,SB_EP29,SB_WILTY_EP29_lie8,5:07,5:16,True,True,0.3333333333333333,5,0.375,1.016878366470337
YW_WILTY_EP46_lie1,1,0.362570296227932,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.15214972469955668,FN,YW,46,YW_EP46,YW_EP46,YW_WILTY_EP46_lie1,2:30,2:33,True,True,1.0,4,0.5,0.8472445011138916
BRI_WILTY_EP59_lie_15,1,0.3628437552601099,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.15187626566737877,FN,BRI,59,BRI_EP59,BRI_EP59,BRI_WILTY_EP59_lie_15,13:13,13:17,True,False,0.75,4,0.5,1.0244067907333374
YW_WILTY_EP56_lie1,1,0.3711000414937734,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1436199794337153,FN,YW,56,YW_EP56,YW_EP56,YW_WILTY_EP56_lie1,2:26,2:30,True,True,0.75,4,0.4375,0.9481850862503052
LS_WILTY_EP14_lie6,1,0.3805574925988912,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.13416252832859749,FN,LS,14,LS_EP14,LS_EP14,LS_WILTY_EP14_lie6,17:54,17:58,True,True,1.0,4,0.375,0.947255790233612
BRI_WILTY_EP60_lie_14,1,0.3829981069266795,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.13172191400080918,FN,BRI,60,BRI_EP60,BRI_EP60,BRI_WILTY_EP60_lie_14,15:52,15:56,True,False,0.25,4,0.5625,1.1218211650848389
BRI_WILTY_EP59_lie_10,1,0.3846030230075121,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1301169979199766,FN,BRI,59,BRI_EP59,BRI_EP59,BRI_WILTY_EP59_lie_10,9:31,9:39,True,True,0.375,4,0.5,0.9942774176597596
YW_WILTY_EP46_lie2,1,0.3869991756230593,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1277208453044294,FN,YW,46,YW_EP46,YW_EP46,YW_WILTY_EP46_lie2,2:42,2:46,True,True,1.0,4,0.4375,0.9737706184387208
YW_WILTY_EP44_lie10,1,0.3878485333919524,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1268714875355363,FN,YW,44,YW_EP44,YW_EP44,YW_WILTY_EP44_lie10,17:46,17:49,True,True,1.0,5,0.4375,1.2138563394546509
LS_WILTY_EP13_lie2,1,0.3890659493803977,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.12565407154709102,FN,LS,13,LS_EP13,LS_EP13,LS_WILTY_EP13_lie2,5:09,5:14,True,True,0.8,4,0.4375,0.9661263227462769
SB_WILTY_EP29_lie9,1,0.3949286636114121,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1197913573160766,FN,SB,29,SB_EP29,SB_EP29,SB_WILTY_EP29_lie9,5:21,5:26,True,False,0.6,4,0.625,1.1646029949188232
YW_WILTY_EP56_lie8,1,0.3951894990354777,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.11953052189201102,FN,YW,56,YW_EP56,YW_EP56,YW_WILTY_EP56_lie8,11:24,11:28,False,False,0.0,4,0.75,0.9950279593467712
BRI_WILTY_EP61_lie_5,1,0.3962496051192283,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1184704158082604,FN,BRI,61,BRI_EP61,BRI_EP61,BRI_WILTY_EP61_lie_5,2:43,2:47,False,False,0.0,2,0.875,1.0330655574798584
SB_WILTY_EP33_lie3,1,0.4006144268314043,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1141055940960844,FN,SB,33,SB_EP33,SB_EP33,SB_WILTY_EP33_lie3,5:37,5:43,True,True,1.0,4,0.375,1.084682822227478
YW_WILTY_EP49_lie6,1,0.4014608892798423,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.1132591316476464,FN,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_lie6,21:06,21:12,True,True,0.5,4,0.4375,1.032677412033081
YW_WILTY_EP47_lie15,1,0.4058326752483845,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.10888734567910419,FN,YW,47,YW_EP47,YW_EP47,YW_WILTY_EP47_lie15,15:55,15:58,True,True,1.0,5,0.4375,1.0055594444274902
YW_WILTY_EP47_lie12,1,0.4081459047396977,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.106574116187791,FN,YW,47,YW_EP47,YW_EP47,YW_WILTY_EP47_lie12,14:17,14:27,True,True,0.8888888888888888,6,0.3125,1.12615704536438
LS_WILTY_EP12_lie4,1,0.4097381049394607,ensemble_raw_balanced_accuracy,fold2,0.5147200209274887,0,False,0.10498191598802797,FN,LS,12,LS_EP12,LS_EP12,LS_WILTY_EP12_lie4,4:38,4:41,True,True,0.3333333333333333,3,0.6875,0.8917091488838196
