episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
AN_EP24,17,3,14,0.17647058823529413,0.10714285714285714,0.3,0.4285714285714286,0.35294117647058826,0,3,11,3
YW_EP56,25,6,19,0.16,0.21929824561403508,0.16,0.543859649122807,0.24,2,4,17,2
SB_EP36,15,6,9,0.26666666666666666,0.2222222222222222,0.42105263157894735,0.3333333333333333,0.6666666666666666,0,6,5,4
LS_EP1,17,8,9,0.29411764705882354,0.29166666666666663,0.3333333333333333,0.3888888888888889,0.5294117647058824,2,6,6,3
SB_EP33,9,6,3,0.4444444444444444,0.3333333333333333,0.0,0.2777777777777778,0.2222222222222222,4,2,3,0
YW_EP46,18,10,8,0.3333333333333333,0.35,0.4,0.25,0.6666666666666666,2,8,4,4
SB_EP32,13,3,10,0.5384615384615384,0.35,0.7,0.43333333333333335,0.7692307692307693,0,3,3,7
LS_EP3,20,6,14,0.45,0.369047619047619,0.5925925925925926,0.26190476190476186,0.65,1,5,6,8
SB_EP35,19,11,8,0.3684210526315789,0.38636363636363635,0.4,0.17045454545454544,0.631578947368421,3,8,4,4
YW_EP52,19,11,8,0.3684210526315789,0.38636363636363635,0.4,0.38636363636363635,0.631578947368421,3,8,4,4
YW_EP49,22,14,8,0.4090909090909091,0.4017857142857143,0.3157894736842105,0.27678571428571425,0.5,6,8,5,3
LS_EP72,25,9,16,0.4,0.4340277777777778,0.4,0.5416666666666667,0.36,5,4,11,5
LS_EP4,25,9,16,0.44,0.4409722222222222,0.5,0.4791666666666667,0.48,4,5,9,7
SB_EP29,17,7,10,0.47058823529411764,0.44285714285714284,0.5714285714285714,0.4714285714285714,0.6470588235294118,2,5,4,6
YW_EP50,30,15,15,0.4666666666666667,0.4666666666666667,0.5,0.41333333333333333,0.5666666666666667,6,9,7,8
LS_EP6,17,10,7,0.5294117647058824,0.4714285714285714,0.2,0.24285714285714288,0.17647058823529413,8,2,6,1
BRI_EP66,19,16,3,0.5789473684210527,0.47916666666666663,0.2,0.6458333333333334,0.3684210526315789,10,6,2,1
SB_EP31,15,8,7,0.4666666666666667,0.48214285714285715,0.5555555555555556,0.375,0.7333333333333333,2,6,2,5
BRI_EP64,23,15,8,0.4782608695652174,0.48333333333333334,0.4,0.18333333333333335,0.5217391304347826,7,8,4,4
AN_EP28,17,11,6,0.5882352941176471,0.49242424242424243,0.2222222222222222,0.6969696969696969,0.17647058823529413,9,2,5,1
LS_EP10,24,9,15,0.5416666666666666,0.5,0.6451612903225806,0.5037037037037038,0.6666666666666666,3,6,5,10
LS_EP5,22,14,8,0.5,0.5,0.42105263157894735,0.6607142857142857,0.5,7,7,4,4
