video_id,label,score_lie,fusion_method,fold,threshold,pred,correct,margin,error_type,host,episode,episode_group_id,group_id,file_name,start_time,end_time,clip_suspect_contamination,first_window_suspect,suspect_window_ratio,max_identity_clusters,min_dominant_ratio,max_cosine_distance
BRI_WILTY_EP62_lie_30,1,0.3414323478937149,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.21093603700399388,FN,BRI,62,BRI_EP62,BRI_EP62,BRI_WILTY_EP62_lie_30,23:27,23:30,False,False,0.0,3,0.8125,0.9658974409103394
BRI_WILTY_EP62_lie_29,1,0.3548028948158025,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.19756549008190627,FN,BRI,62,BRI_EP62,BRI_EP62,BRI_WILTY_EP62_lie_29,23:19,23:23,True,True,0.75,2,0.5625,0.9131479859352112
YW_WILTY_EP70_lie17,1,0.36856822617352,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.1838001587241888,FN,YW,70,YW_EP70,YW_EP70,YW_WILTY_EP70_lie17,18:10,18:14,True,False,0.25,2,0.625,1.2015669345855713
YW_WILTY_EP53_lie1,1,0.3854925362552915,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.16687584864241728,FN,YW,53,YW_EP53,YW_EP53,YW_WILTY_EP53_lie1,11:05,11:12,True,False,0.2857142857142857,3,0.5,0.9549770355224608
YW_WILTY_EP54_lie3,1,0.3929335971921682,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.1594347877055406,FN,YW,54,YW_EP54,YW_EP54,YW_WILTY_EP54_lie3,16:39,16:43,True,True,1.0,4,0.4375,1.0619056224822998
YW_WILTY_EP54_lie4,1,0.3951896364688873,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.1571787484288215,FN,YW,54,YW_EP54,YW_EP54,YW_WILTY_EP54_lie4,16:59,17:04,True,False,0.6,2,0.6875,0.8138206005096436
SB_WILTY_EP29_lie2,1,0.3985459607839584,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.1538224241137504,FN,SB,29,SB_EP29,SB_EP29,SB_WILTY_EP29_lie2,1:36,1:43,True,True,0.7142857142857143,5,0.4375,0.9033175706863404
SB_WILTY_EP34_lie7,1,0.4118903762102127,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.1404780086874961,FN,SB,34,SB_EP34,SB_EP34,SB_WILTY_EP34_lie7,3:44,3:49,True,True,1.0,5,0.375,1.055939555168152
AN_WILTY_EP22_lie5,1,0.4193193141619364,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.13304907073577238,FN,AN,22,AN_EP22,AN_EP22,AN_WILTY_EP22_lie5,4:43,4:46,True,True,0.6666666666666666,3,0.4375,1.0123637914657593
YW_WILTY_EP48_lie3,1,0.4234678772091865,ensemble_raw_auc_roc,fold1,0.5523683848977088,0,False,0.1289005076885223,FN,YW,48,YW_EP48,YW_EP48,YW_WILTY_EP48_lie3,12:14,12:18,True,True,1.0,4,0.375,1.1855168342590332
