episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
SB_EP35,19,11,8,0.2631578947368421,0.26136363636363635,0.2222222222222222,0.5340909090909092,0.5263157894736842,3,8,6,2
YW_EP46,18,10,8,0.2777777777777778,0.275,0.23529411764705882,0.22499999999999998,0.5,3,7,6,2
SB_EP36,15,6,9,0.3333333333333333,0.3055555555555555,0.4444444444444444,0.40740740740740744,0.6,1,5,5,4
YW_EP50,30,15,15,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3511111111111111,0.7,2,13,7,8
BRI_EP64,23,15,8,0.34782608695652173,0.35416666666666663,0.2857142857142857,0.35,0.5652173913043478,5,10,5,3
YW_EP49,22,14,8,0.36363636363636365,0.3660714285714286,0.3,0.3125,0.5454545454545454,5,9,5,3
LS_EP3,20,6,14,0.45,0.369047619047619,0.5925925925925926,0.4642857142857143,0.65,1,5,6,8
BRI_EP66,19,16,3,0.631578947368421,0.375,0.0,0.6458333333333334,0.21052631578947367,12,4,3,0
YW_EP52,19,11,8,0.3684210526315789,0.38636363636363635,0.4,0.23863636363636365,0.631578947368421,3,8,4,4
LS_EP4,25,9,16,0.44,0.3923611111111111,0.5625,0.7013888888888888,0.64,2,7,7,9
LS_EP6,17,10,7,0.4117647058823529,0.39285714285714285,0.2857142857142857,0.1714285714285714,0.4117647058823529,5,5,5,2
AN_EP19,21,6,15,0.5714285714285714,0.4,0.7272727272727273,0.34444444444444444,0.8571428571428571,0,6,3,12
SB_EP31,15,8,7,0.4,0.4107142857142857,0.47058823529411764,0.42857142857142855,0.6666666666666666,2,6,3,4
SB_EP33,9,6,3,0.4444444444444444,0.41666666666666663,0.2857142857142857,0.3333333333333333,0.4444444444444444,3,3,2,1
BRI_EP59,24,13,11,0.4583333333333333,0.44405594405594406,0.3157894736842105,0.49650349650349646,0.3333333333333333,8,5,8,3
SB_EP37,21,13,8,0.5238095238095238,0.44711538461538464,0.16666666666666666,0.5096153846153846,0.19047619047619047,10,3,7,1
AN_EP22,28,10,18,0.5,0.4555555555555556,0.6111111111111112,0.45555555555555555,0.6428571428571429,3,7,7,11
SB_EP32,13,3,10,0.5384615384615384,0.4666666666666667,0.6666666666666666,0.23333333333333334,0.6153846153846154,1,2,4,6
SB_EP34,15,4,11,0.4666666666666667,0.4772727272727273,0.5555555555555556,0.6590909090909092,0.4666666666666667,2,2,6,5
AN_EP25,11,3,8,0.5454545454545454,0.47916666666666663,0.6666666666666666,0.45833333333333337,0.6363636363636364,1,2,3,5
AN_EP17,18,8,10,0.5,0.4875,0.5714285714285714,0.35000000000000003,0.6111111111111112,3,5,4,6
YW_EP56,25,6,19,0.4,0.49122807017543857,0.4444444444444444,0.4122807017543859,0.32,4,2,13,6
AN_EP18,23,8,15,0.5652173913043478,0.5208333333333333,0.6666666666666666,0.5333333333333333,0.6521739130434783,3,5,5,10
LS_EP1,17,8,9,0.5294117647058824,0.5208333333333333,0.6,0.4722222222222222,0.6470588235294118,3,5,3,6
LS_EP10,24,9,15,0.5833333333333334,0.5333333333333333,0.6875,0.6074074074074074,0.7083333333333334,3,6,4,11
SB_EP29,17,7,10,0.5294117647058824,0.5357142857142857,0.5555555555555556,0.4428571428571429,0.47058823529411764,4,3,5,5
BRI_EP58,34,12,22,0.5588235294117647,0.5454545454545454,0.6341463414634146,0.5606060606060606,0.5588235294117647,6,6,9,13
