fold,method,method_label,weights,threshold,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1,calibrated_confusion_matrix
fold1,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.4961623946825663,0.4690082644628099,0.5,0.0,0.31926863572433195,0.5686419033579596,0.5903661125871127,0.4896694214876033,0.5145700131987179,0.6041666666666666,0.11284046692607004,0.1901639344262295,0.40880745740919316,"[[208, 19], [228, 29]]"
fold2,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.5115958352883657,0.5228215767634855,0.49823083694357667,0.6857923497267759,0.34720651969097416,0.6473410773771511,0.6466974777862713,0.6058091286307054,0.6127000017260127,0.6779661016949152,0.4743083003952569,0.5581395348837209,0.601167145719014,"[[172, 57], [133, 120]]"
fold3,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.4210688717663288,0.5926724137931034,0.6009598359891901,0.5401459854014599,0.5872876928941535,0.6434069518218246,0.6315108111478223,0.6056034482758621,0.5892181530146305,0.5837837837837838,0.8816326530612245,0.7024390243902439,0.5588872438245149,"[[65, 154], [29, 216]]"
fold1,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.85;gated_prior_kl=0.15,0.5000835585718353,0.6012396694214877,0.5982875949193507,0.6323809523809524,0.5983575190798667,0.6540564630864429,0.6537198810583391,0.5991735537190083,0.5963420696275219,0.6179775280898876,0.642023346303502,0.6297709923664122,0.5964170277147376,"[[125, 102], [92, 165]]"
fold2,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=1.00;gated_prior_kl=0.00,0.5115958352883657,0.5228215767634855,0.49823083694357667,0.6857923497267759,0.34720651969097416,0.6473410773771511,0.6466974777862713,0.6058091286307054,0.6127000017260127,0.6779661016949152,0.4743083003952569,0.5581395348837209,0.601167145719014,"[[172, 57], [133, 120]]"
fold3,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5459980191662908,0.5560344827586207,0.5308918087783059,0.6997084548104956,0.424234392694504,0.6545522318516449,0.6654877669268124,0.5883620689655172,0.590820985928618,0.6261682242990654,0.5469387755102041,0.5838779956427015,0.588314264345871,"[[139, 80], [111, 134]]"
fold1,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.85;gated_prior_kl=0.15,0.5000835585718353,0.6012396694214877,0.5982875949193507,0.6323809523809524,0.5983575190798667,0.6540564630864429,0.6537198810583391,0.5991735537190083,0.5963420696275219,0.6179775280898876,0.642023346303502,0.6297709923664122,0.5964170277147376,"[[125, 102], [92, 165]]"
fold2,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=1.00;gated_prior_kl=0.00,0.5115958352883657,0.5228215767634855,0.49823083694357667,0.6857923497267759,0.34720651969097416,0.6473410773771511,0.6466974777862713,0.6058091286307054,0.6127000017260127,0.6779661016949152,0.4743083003952569,0.5581395348837209,0.601167145719014,"[[172, 57], [133, 120]]"
fold3,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.11;gated_prior_kl=0.89,0.5322992006730702,0.5732758620689655,0.5503680924424564,0.7035928143712575,0.471027176416398,0.6613735905321033,0.6669101425844148,0.6120689655172413,0.6072127481129438,0.6181818181818182,0.6938775510204082,0.6538461538461539,0.6063348416289593,"[[114, 105], [75, 170]]"
fold1,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5262111377503191,0.6157024793388429,0.6070210322425822,0.6736842105263158,0.6031737635546152,0.6550677934143541,0.6551179188647496,0.6033057851239669,0.6002331202111795,0.620817843866171,0.6498054474708171,0.6349809885931559,0.6002959241608313,"[[125, 102], [90, 167]]"
fold2,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5139600109486353,0.553941908713693,0.533467386989316,0.6897546897546898,0.448198378087677,0.6216925280908573,0.6344061611536739,0.5892116182572614,0.5906760791894644,0.6200873362445415,0.5612648221343873,0.5892116182572614,0.5892116182572614,"[[142, 87], [111, 142]]"
fold3,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5459980191662908,0.5560344827586207,0.5308918087783059,0.6997084548104956,0.424234392694504,0.6545522318516449,0.6654877669268124,0.5883620689655172,0.590820985928618,0.6261682242990654,0.5469387755102041,0.5838779956427015,0.588314264345871,"[[139, 80], [111, 134]]"
