video_id,label,score_lie,fusion_method,fold,threshold,pred,correct,margin,error_type,host,episode,episode_group_id,group_id,file_name,start_time,end_time,clip_suspect_contamination,first_window_suspect,suspect_window_ratio,max_identity_clusters,min_dominant_ratio,max_cosine_distance
AN_WILTY_EP17_truth5,0,0.5915461938381195,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.05924699316504922,FP,AN,17,AN_EP17,AN_EP17,AN_WILTY_EP17_truth5,9:23,9:28,True,True,1.0,5,0.375,0.8762173652648926
LS_WILTY_EP14_truth8,0,0.5836858622233073,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.05138666155023708,FP,LS,14,LS_EP14,LS_EP14,LS_WILTY_EP14_truth8,22:48,22:51,True,False,0.6666666666666666,4,0.5,0.903113842010498
SB_WILTY_EP29_truth7,0,0.5814806402921677,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.04918143961909749,FP,SB,29,SB_EP29,SB_EP29,SB_WILTY_EP29_truth7,9:15,9:20,False,False,0.0,2,0.75,0.7093066573143005
BRI_WILTY_EP63_truth_31,0,0.5782509525616965,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.04595175188862621,FP,BRI,63,BRI_EP63,BRI_EP63,BRI_WILTY_EP63_truth_31,22:02,22:05,False,False,0.0,1,1.0,0.4317057728767395
YW_WILTY_EP47_truth6,0,0.5776236313581466,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.04532443068507641,FP,YW,47,YW_EP47,YW_EP47,YW_WILTY_EP47_truth6,25:59,26:08,True,True,0.25,4,0.5,1.1143553256988523
AN_WILTY_EP16_truth23,0,0.5757697013020515,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.04347050062898128,FP,AN,16,AN_EP16,AN_EP16,AN_WILTY_EP16_truth23,23:36,23:40,True,True,0.25,5,0.625,1.1891580820083618
AN_WILTY_EP16_truth24,0,0.5754918618713107,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.0431926611982405,FP,AN,16,AN_EP16,AN_EP16,AN_WILTY_EP16_truth24,23:57,24:04,True,True,0.5714285714285714,4,0.4375,0.9929958581924438
YW_WILTY_EP45_truth7,0,0.574609842470714,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.04231064179764377,FP,YW,45,YW_EP45,YW_EP45,YW_WILTY_EP45_truth7,14:21,14:28,True,True,0.7142857142857143,4,0.4375,1.0287002325057983
LS_WILTY_EP9_truth10,0,0.5696346981823445,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.03733549750927423,FP,LS,9,LS_EP9,LS_EP9,LS_WILTY_EP9_truth10,25:32,25:36,True,True,0.75,5,0.375,1.0773898363113403
BRI_WILTY_EP59_truth_12,0,0.5686237819492816,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.03632458127621141,FP,BRI,59,BRI_EP59,BRI_EP59,BRI_WILTY_EP59_truth_12,9:56,10:02,True,False,0.6666666666666666,5,0.5,1.07318913936615
YW_WILTY_EP46_truth6,0,0.568029563575983,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.03573036290291276,FP,YW,46,YW_EP46,YW_EP46,YW_WILTY_EP46_truth6,19:06,19:10,True,True,1.0,6,0.25,1.061288833618164
LS_WILTY_EP10_truth9,0,0.5677063236633936,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.035407122990323336,FP,LS,10,LS_EP10,LS_EP10,LS_WILTY_EP10_truth9,22:05,22:08,True,True,1.0,6,0.3125,1.2422378063201904
YW_WILTY_EP49_truth14,0,0.5353864755481481,ensemble_raw_balanced_accuracy,fold1,0.5000835585718353,1,False,0.035302916976312826,FP,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_truth14,26:03,26:07,True,True,0.25,5,0.5,0.9825432300567628
YW_WILTY_EP51_truth6,0,0.567547870874405,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.03524867020133471,FP,YW,51,YW_EP51,YW_EP51,YW_WILTY_EP51_truth6,25:52,25:55,False,False,0.0,1,1.0,0.5446180701255798
LS_WILTY_EP7_truth13,0,0.5666408261656761,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.03434162549260589,FP,LS,7,LS_EP7,LS_EP7,LS_WILTY_EP7_truth13,26:56,26:59,True,True,0.3333333333333333,5,0.3125,0.8660485148429871
BRI_WILTY_EP58_truth_5,0,0.5659425934404135,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.033643392767343294,FP,BRI,58,BRI_EP58,BRI_EP58,BRI_WILTY_EP58_truth_5,5:26,5:30,False,False,0.0,1,1.0,0.4083765745162964
AN_WILTY_EP18_truth13,0,0.5645865321159362,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.032287331442865996,FP,AN,18,AN_EP18,AN_EP18,AN_WILTY_EP18_truth13,16:26,16:29,False,False,0.0,3,0.8125,0.9480843544006348
YW_WILTY_EP49_truth13,0,0.5319959913690885,ensemble_raw_balanced_accuracy,fold1,0.5000835585718353,1,False,0.0319124327972532,FP,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_truth13,25:57,26:00,True,True,0.6666666666666666,3,0.6875,0.8513251543045044
LS_WILTY_EP72_true9,0,0.5315019088983536,ensemble_raw_balanced_accuracy,fold1,0.5000835585718353,1,False,0.031418350326518296,FP,LS,72,LS_EP72,LS_EP72,LS_WILTY_EP72_true9,14:05,14:10,False,False,0.0,4,0.75,0.9029390811920166
AN_WILTY_EP15_truth23,0,0.5636575278308658,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.03135832715779552,FP,AN,15,AN_EP15,AN_EP15,AN_WILTY_EP15_truth23,26:14,26:23,True,True,1.0,8,0.25,1.1280481815338137
LS_WILTY_EP2_truth2,0,0.5621196941137314,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.029820493440661178,FP,LS,2,LS_EP2,LS_EP2,LS_WILTY_EP2_truth2,14:39,14:44,True,True,1.0,5,0.3125,1.155693292617798
LS_WILTY_EP1_truth3,0,0.5612435405254365,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.02894433985236622,FP,LS,1,LS_EP1,LS_EP1,LS_WILTY_EP1_truth3,4:14,4:19,True,True,0.6,4,0.5625,1.0194907188415527
SB_WILTY_EP32_truth3,0,0.52899738781982,ensemble_raw_balanced_accuracy,fold1,0.5000835585718353,1,False,0.02891382924798469,FP,SB,32,SB_EP32,SB_EP32,SB_WILTY_EP32_truth3,2:15,2:24,True,True,0.5555555555555556,5,0.5,1.101953148841858
YW_WILTY_EP47_truth7,0,0.5287451709310214,ensemble_raw_balanced_accuracy,fold1,0.5000835585718353,1,False,0.028661612359186073,FP,YW,47,YW_EP47,YW_EP47,YW_WILTY_EP47_truth7,26:34,26:38,True,True,0.6666666666666666,4,0.5625,0.8594387173652649
AN_WILTY_EP15_truth24,0,0.5607005356417762,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.028401334968706005,FP,AN,15,AN_EP15,AN_EP15,AN_WILTY_EP15_truth24,26:28,26:37,True,False,0.4444444444444444,4,0.4375,1.2359081506729126
YW_WILTY_EP50_truth2,0,0.5605750115215777,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.0282758108485075,FP,YW,50,YW_EP50,YW_EP50,YW_WILTY_EP50_truth2,5:57,6:03,True,False,0.1666666666666666,2,0.5625,0.6365851163864136
YW_WILTY_EP52_truth11,0,0.5605444814264775,ensemble_raw_balanced_accuracy,fold3,0.5322992006730702,1,False,0.028245280753407265,FP,YW,52,YW_EP52,YW_EP52,YW_WILTY_EP52_truth11,23:28,23:32,True,True,1.0,5,0.375,1.0721465349197388
LS_WILTY_EP10_truth7,0,0.5277844538291294,ensemble_raw_balanced_accuracy,fold1,0.5000835585718353,1,False,0.027700895257294134,FP,LS,10,LS_EP10,LS_EP10,LS_WILTY_EP10_truth7,21:32,21:35,False,False,0.0,3,0.75,0.8584980964660645
SB_WILTY_EP36_truth4,0,0.5273004961013793,ensemble_raw_balanced_accuracy,fold1,0.5000835585718353,1,False,0.027216937529544016,FP,SB,36,SB_EP36,SB_EP36,SB_WILTY_EP36_truth4,7:43,7:53,True,True,0.9,5,0.4375,1.083805799484253
LS_WILTY_EP3_truth1,0,0.5272802099585533,ensemble_raw_balanced_accuracy,fold1,0.5000835585718353,1,False,0.027196651386718007,FP,LS,3,LS_EP3,LS_EP3,LS_WILTY_EP3_truth1,2:30,2:34,True,False,0.25,3,0.6875,1.102632761001587
