experiment,method,group,fold,seed,summary_path,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1,calibrated_threshold,best_epoch,best_val_metric,loss_name
static_only,Static only,single_stream,fold1,42,outputs/metrics/paper_ablation_static/fold1_seed42_summary.json,0.6301652892561983,0.6185827662455647,0.6981450252951096,0.6104058459808881,0.6636726717975968,0.6700070342030846,0.5867768595041323,0.5975248118754178,0.6770186335403726,0.42412451361867703,0.5215311004784688,0.5789473684210527,0.7389559149742126,6,0.5833333333333334,ce
static_only,Static only,single_stream,fold2,42,outputs/metrics/paper_ablation_static/fold2_seed42_summary.json,0.6058091286307054,0.5998584669554861,0.6570397111913358,0.5968125385224972,0.6627025907451197,0.6658817893696233,0.6286307053941909,0.6305038231182146,0.6637168141592921,0.5928853754940712,0.6263048016701461,0.6286163183608462,0.5984081791506873,5,0.6387301587301588,ce
static_only,Static only,single_stream,fold3,42,outputs/metrics/paper_ablation_static/fold3_seed42_summary.json,0.5754310344827587,0.556285527909794,0.6907378335949764,0.5068809442888972,0.6335663032336223,0.6679136444165714,0.5862068965517241,0.5991985835430063,0.7086614173228346,0.3673469387755102,0.4838709677419355,0.5692736133673706,0.7488941331704457,12,0.5755670611439843,ce
flow_only,Flow only,single_stream,fold1,42,outputs/metrics/paper_ablation_flow/fold1_seed42_summary.json,0.47107438016528924,0.5016884074118514,0.015384615384615385,0.32690134724033026,0.5416873789403315,0.556323548086882,0.5206611570247934,0.5293542912974168,0.5714285714285714,0.38910505836575876,0.46296296296296297,0.5150635710337202,0.4948515754843515,1,0.6356837606837606,ce
flow_only,Flow only,single_stream,fold2,42,outputs/metrics/paper_ablation_flow/fold2_seed42_summary.json,0.524896265560166,0.5004142430571138,0.6867305061559508,0.35194894406509986,0.6162383278388595,0.6296717408447701,0.5933609958506224,0.5919360684881854,0.6108949416342413,0.6205533596837944,0.615686274509804,0.5919841064178976,0.5158035904169083,10,0.6933333333333334,ce
flow_only,Flow only,single_stream,fold3,42,outputs/metrics/paper_ablation_flow/fold3_seed42_summary.json,0.5280172413793104,0.5,0.691114245416079,0.3455571227080395,0.47573385518591005,0.505499430310576,0.4698275862068966,0.47494175752492773,0.4973544973544973,0.3836734693877551,0.43317972350230416,0.4676020075001399,0.5191851839423179,2,0.5782790927021696,ce
audio_only,Audio only,single_stream,fold1,42,outputs/metrics/paper_ablation_audio/fold1_seed42_summary.json,0.5578512396694215,0.5417473731123262,0.65814696485623,0.5162079853520916,0.5651451001902672,0.5724628359487967,0.5578512396694215,0.5558888565110818,0.583011583011583,0.5875486381322957,0.5852713178294574,0.5559099951979145,0.5270727244871003,14,0.6383547008547008,ce
audio_only,Audio only,single_stream,fold2,42,outputs/metrics/paper_ablation_audio/fold2_seed42_summary.json,0.524896265560166,0.5,0.6884353741496598,0.3442176870748299,0.6091961958679255,0.6080000326661721,0.5809128630705395,0.5860848853064535,0.6321243523316062,0.48221343873517786,0.547085201793722,0.578561905916166,0.5197368140021961,12,0.6868253968253968,ce
audio_only,Audio only,single_stream,fold3,42,outputs/metrics/paper_ablation_audio/fold3_seed42_summary.json,0.5280172413793104,0.5,0.691114245416079,0.3455571227080395,0.5666387102786321,0.5672275700020236,0.5301724137931034,0.5391109868604976,0.5849056603773585,0.3795918367346939,0.4603960396039604,0.5221827526264077,0.5379821926355361,28,0.6977317554240631,ce
gated_no_prior,Gated prior-init w/o Prior-KL,prior_kl,fold1,42,outputs/metrics/paper_gated_no_prior/fold1_seed42_summary.json,0.6342975206611571,0.6235022883491318,0.6984667802385008,0.6169499255523213,0.6590445499580041,0.6646607816234081,0.5929752066115702,0.6000188553111984,0.6578947368421053,0.48638132295719844,0.5592841163310962,0.5905825572058552,0.6806080614527066,6,0.5902777777777778,ce
gated_no_prior,Gated prior-init w/o Prior-KL,prior_kl,fold1,123,outputs/metrics/paper_gated_no_prior/fold1_seed123_summary.json,0.5392561983471075,0.5134386945268175,0.68188302425107,0.4233385158708533,0.5826119748367301,0.5957690110649532,0.5371900826446281,0.5462040830319341,0.5953757225433526,0.40077821011673154,0.4790697674418605,0.5313564450592202,0.547983815272649,2,0.593482905982906,ce
gated_no_prior,Gated prior-init w/o Prior-KL,prior_kl,fold1,2025,outputs/metrics/paper_gated_no_prior/fold1_seed2025_summary.json,0.6363636363636364,0.631875760640395,0.6728624535315985,0.6317800639751016,0.6672380397332831,0.6787665805230144,0.5826446280991735,0.5933766434117829,0.6708074534161491,0.42023346303501946,0.5167464114832536,0.5747368421052632,0.6273470759391785,13,0.5988247863247863,ce
gated_no_prior,Gated prior-init w/o Prior-KL,prior_kl,fold2,42,outputs/metrics/paper_gated_no_prior/fold2_seed42_summary.json,0.6327800829875518,0.6317638124169356,0.650887573964497,0.6317895200238239,0.6583185183906658,0.6531402144259221,0.6286307053941909,0.6319536738181127,0.6745283018867925,0.5652173913043478,0.6150537634408603,0.6281681642855603,0.5502059786092668,5,0.648888888888889,ce
gated_no_prior,Gated prior-init w/o Prior-KL,prior_kl,fold2,123,outputs/metrics/paper_gated_no_prior/fold2_seed123_summary.json,0.524896265560166,0.5,0.6884353741496598,0.3442176870748299,0.6369073303760981,0.642675950249656,0.6037344398340249,0.6113450817267032,0.6823529411764706,0.45849802371541504,0.5484633569739953,0.5977067246977186,0.5439099967479706,1,0.6304761904761905,ce
